   1.0274000e+02   2.5123000e+01
   9.9988300e+01   2.6758800e+01
   0.0000000e+00   6.4618638e+04   6.4618638e+04
   1.0000000e+00   1.4613744e+05  -8.2622016e+04
   2.0000000e+00   5.4763176e+04  -1.5792588e+05
   3.0000000e+00  -5.0594778e+04  -7.5954913e+04
   4.0000000e+00   5.8684565e+04   1.5163321e+05
   5.0000000e+00   1.9527965e+05   2.8949217e+05
   6.0000000e+00   1.2187670e+04   1.2790947e+05
   7.0000000e+00  -2.6546675e+05  -1.5733628e+05
   8.0000000e+00  -1.3212114e+05  -2.2978840e+05
   9.0000000e+00   2.4192743e+05  -4.8203711e+04
   1.0000000e+01   2.7055094e+05   1.4156918e+05
   1.1000000e+01  -3.1141173e+04   1.6496752e+05
   1.2000000e+01  -1.7940094e+05   8.5434770e+04
   1.3000000e+01  -6.0954065e+04   2.4464950e+03
   1.4000000e+01   4.4953527e+04  -8.2318247e+04
   1.5000000e+01   2.1126536e+04  -1.2658538e+05
   1.6000000e+01   1.1083560e+04  -6.7498554e+04
   1.7000000e+01   7.5982108e+04   3.0578721e+04
   1.8000000e+01   9.6824273e+04   7.5342383e+04
   1.9000000e+01  -4.0264141e+03   5.6885709e+04
   2.0000000e+01  -1.3412613e+05  -1.9968874e+04
   2.1000000e+01  -1.3431927e+05  -1.2568776e+05
   2.2000000e+01   2.4950477e+03  -1.4768930e+05
   2.3000000e+01   1.1754291e+05  -2.2384175e+04
   2.4000000e+01   1.0768572e+05   1.2982392e+05
   2.5000000e+01  -1.5946475e+04   1.4552113e+05
   2.6000000e+01  -1.5305245e+05   1.4058644e+04
   2.7000000e+01  -1.3043284e+05  -1.1978284e+05
   2.8000000e+01   4.9597863e+04  -1.1144088e+05
   2.9000000e+01   1.2817737e+05   6.0139888e+03
   3.0000000e+01  -1.2451697e+04   8.3978019e+04
   3.1000000e+01  -1.3680609e+05   5.9241585e+04
   3.2000000e+01  -5.8670727e+04  -2.8277632e+04
   3.3000000e+01   3.7160651e+04  -1.0358802e+05
   3.4000000e+01  -2.7411742e+04  -1.0869139e+05
   3.5000000e+01  -8.6365969e+04  -3.9086907e+04
   3.6000000e+01   3.9804450e+03   5.9532742e+04
   3.7000000e+01   7.8952889e+04   9.5296277e+04
   3.8000000e+01  -1.0891501e+03   2.3904770e+04
   3.9000000e+01  -9.1300458e+04  -6.9378348e+04
   4.0000000e+01  -3.3045185e+04  -7.7428367e+04
   4.1000000e+01   7.1930159e+04   4.2282898e+03
   4.2000000e+01   4.6004346e+04   8.1801135e+04
   4.3000000e+01  -8.2949085e+04   7.7836831e+04
   4.4000000e+01  -1.4336937e+05   9.0519810e+03
   4.5000000e+01  -6.8764244e+04  -6.5968004e+04
   4.6000000e+01   2.2881398e+04  -7.9597061e+04
   4.7000000e+01  -9.2572034e+03   2.0972699e+03
   4.8000000e+01  -1.2681408e+05   8.6290678e+04
   4.9000000e+01  -1.3953014e+05   3.2649356e+04
   5.0000000e+01   1.8550471e+03  -1.2173634e+05
   5.1000000e+01   1.1356027e+05  -1.5615911e+05
   5.2000000e+01   9.4533836e+04   1.0117111e+03
   5.3000000e+01   3.9935142e+04   1.2804940e+05
   5.4000000e+01   2.0775240e+03   8.2205192e+04
   5.5000000e+01  -2.8455799e+04  -5.6008457e+03
   5.6000000e+01   6.5810256e+03  -3.7118524e+04
   5.7000000e+01   1.0475063e+05  -4.4654534e+04
   5.8000000e+01   1.2021478e+05  -2.1965063e+04
   5.9000000e+01  -4.8227466e+02   2.8496631e+04
   6.0000000e+01  -1.0101984e+05   5.4746678e+04
   6.1000000e+01  -5.3021926e+04   3.9616602e+04
   6.2000000e+01   4.2645941e+04  -1.0721728e+04
   6.3000000e+01   1.5622487e+04  -5.8739807e+04
   6.4000000e+01  -8.6191964e+04  -5.6101089e+04
   6.5000000e+01  -7.8581837e+04  -3.6123371e+04
   6.6000000e+01   3.9308731e+04  -2.8072986e+04
   6.7000000e+01   9.6438949e+04   1.4719045e+04
   6.8000000e+01   4.2910322e+04   6.4351129e+04
   6.9000000e+01   1.1487439e+04   2.2355378e+04
   7.0000000e+01   5.1192795e+04  -6.1895067e+04
   7.1000000e+01   6.6516270e+04  -5.3405795e+04
   7.2000000e+01   3.7265171e+04   2.1266073e+04
   7.3000000e+01  -5.1520479e+03   5.4476093e+04
   7.4000000e+01  -3.8311769e+04   3.6549855e+04
   7.5000000e+01   9.1040762e+03   1.2359145e+04
   7.6000000e+01   1.0163417e+05   1.6006251e+03
   7.7000000e+01   8.6015916e+04  -2.4132711e+04
   7.8000000e+01  -4.3864344e+04  -5.9388279e+04
   7.9000000e+01  -1.0406676e+05  -2.5476970e+04
   8.0000000e+01   2.1417950e+04   5.1425215e+04
   8.1000000e+01   1.6394754e+05   4.2636571e+04
   8.2000000e+01   8.9572521e+04  -3.7861619e+04
   8.3000000e+01  -1.0637923e+05  -4.4309276e+04
   8.4000000e+01  -1.2309647e+05   5.3968138e+04
   8.5000000e+01   6.9266117e+04   1.0320173e+05
   8.6000000e+01   1.8350788e+05   3.8990012e+02
   8.7000000e+01   7.9887649e+04  -9.9300748e+04
   8.8000000e+01  -6.1317450e+04   6.7368901e+03
   8.9000000e+01  -8.4928306e+04   2.0828799e+05
   9.0000000e+01  -3.8124153e+04   1.9389561e+05
   9.1000000e+01   3.5398900e+03  -6.3742340e+04
   9.2000000e+01   3.9474821e+04  -2.1820147e+05
   9.3000000e+01   2.6869662e+04  -6.3037224e+04
