   1.0274000e+02   2.5123000e+01
   9.6103529e+01   3.0729480e+01
   0.0000000e+00   1.2816632e+05   1.2816632e+05
   1.0000000e+00   8.6942092e+04   4.3128121e+03
   2.0000000e+00  -5.1615482e+04  -1.2222399e+05
   3.0000000e+00  -1.0273261e+05  -9.5283440e+04
   4.0000000e+00  -3.2152650e+04   3.7631601e+04
   5.0000000e+00   4.5514372e+04   1.0985666e+05
   6.0000000e+00   4.8169454e+04   3.9212456e+04
   7.0000000e+00  -1.4721565e+03  -7.9983602e+04
   8.0000000e+00  -4.7343638e+04  -9.9973997e+04
   9.0000000e+00  -6.2068786e+04   8.9635090e+01
   1.0000000e+01  -2.1845710e+04   9.4949009e+04
   1.1000000e+01   5.2548176e+04   6.0069923e+04
   1.2000000e+01   4.7908984e+04  -6.4844825e+04
   1.3000000e+01  -6.5051599e+04  -1.1262646e+05
   1.4000000e+01  -1.2264331e+05  -1.1823170e+04
   1.5000000e+01  -1.1081945e+04   1.1305267e+05
   1.6000000e+01   1.2639409e+05   9.8332237e+04
   1.7000000e+01   8.3874788e+04  -4.0189222e+04
   1.8000000e+01  -9.0007319e+04  -1.2188298e+05
   1.9000000e+01  -1.5724970e+05  -4.8368565e+04
   2.0000000e+01  -3.3778407e+04   7.7158671e+04
   2.1000000e+01   1.2757971e+05   1.0506494e+05
   2.2000000e+01   1.4879202e+05   2.5595661e+04
   2.3000000e+01   4.9516150e+03  -4.8537254e+04
   2.4000000e+01  -1.4699286e+05  -4.5266178e+04
   2.5000000e+01  -1.2186635e+05   4.4050675e+01
   2.6000000e+01   5.6796579e+04   3.0235802e+04
   2.7000000e+01   1.6929808e+05   3.8174884e+04
   2.8000000e+01   7.9077474e+04   3.5435939e+04
   2.9000000e+01  -1.0279129e+05   1.8976802e+04
   3.0000000e+01  -1.5008065e+05  -4.1930441e+03
   3.1000000e+01  -1.5268861e+04  -1.6179249e+04
   3.2000000e+01   1.0045433e+05  -1.4519222e+04
   3.3000000e+01   6.3072530e+04  -9.9966256e+03
   3.4000000e+01  -3.5641289e+04   8.0016885e+02
   3.5000000e+01  -8.1481870e+04   2.9134591e+04
