   1.0274000e+02   2.5123000e+01
   9.3250395e+01   3.0645838e+01
   0.0000000e+00  -1.1010506e+05  -1.1010506e+05
   1.0000000e+00  -4.1265457e+04  -2.7619926e+04
   2.0000000e+00   6.2530977e+04   1.0451271e+05
   3.0000000e+00   5.2064708e+04   1.3470062e+05
   4.0000000e+00  -1.9832986e+04   3.2893414e+04
   5.0000000e+00  -3.8012830e+04  -8.7415659e+04
   6.0000000e+00   5.0299656e+03  -9.2473265e+04
   7.0000000e+00   4.3554432e+04  -6.2393774e+03
   8.0000000e+00   1.8941147e+04   4.6006761e+04
   9.0000000e+00  -3.6166413e+04   1.9010306e+04
   1.0000000e+01  -3.7283709e+04  -2.9159897e+04
   1.1000000e+01  -3.8252340e+02  -3.1288856e+04
   1.2000000e+01   1.0662504e+04  -4.2194931e+03
   1.3000000e+01   2.7305265e+04  -1.0928891e+04
   1.4000000e+01   5.8961309e+04  -4.1126866e+04
   1.5000000e+01   2.4255196e+04  -4.5180174e+04
   1.6000000e+01  -3.9790311e+04  -2.6801243e+04
   1.7000000e+01  -2.3938785e+04   4.9712444e+02
   1.8000000e+01   1.3281795e+04   3.8298148e+04
   1.9000000e+01   2.7534213e+02   4.2610856e+04
   2.0000000e+01   1.0948875e+04  -1.6912117e+04
   2.1000000e+01   5.2342563e+04  -6.8142478e+04
   2.2000000e+01   1.3885787e+04  -4.0763560e+04
   2.3000000e+01  -8.2821054e+04   2.0541607e+04
   2.4000000e+01  -6.5128134e+04   3.0445487e+04
   2.5000000e+01   6.8405632e+04  -7.1682175e+03
   2.6000000e+01   1.0196238e+05  -1.9842278e+04
   2.7000000e+01  -1.5829900e+04  -2.5856374e+03
   2.8000000e+01  -9.0043590e+04  -7.0693785e+03
   2.9000000e+01  -2.2255125e+04  -2.8596301e+04
   3.0000000e+01   6.6850407e+04  -3.3598209e+04
   3.1000000e+01   6.7785686e+04  -1.6397330e+04
   3.2000000e+01   9.7268864e+03   2.4146685e+04
   3.3000000e+01  -5.1063283e+04   6.3027210e+04
   3.4000000e+01  -6.9910573e+04   4.1521416e+04
   3.5000000e+01  -1.2166495e+04  -3.0637692e+04
   3.6000000e+01   6.4598611e+04  -6.7903596e+04
   3.7000000e+01   5.7955598e+04  -3.4239184e+04
   3.8000000e+01  -4.7423187e+04   3.4789300e+04
   3.9000000e+01  -1.3026951e+05   7.7856926e+04
   4.0000000e+01  -5.7067581e+04   4.6913425e+04
   4.1000000e+01   9.2393367e+04  -2.5134654e+04
   4.2000000e+01   1.2753650e+05  -5.5925511e+04
   4.3000000e+01   3.7383492e+04  -2.1383804e+04
   4.4000000e+01  -5.7853575e+04   2.9416040e+04
   4.5000000e+01  -8.4939697e+04   4.7004014e+04
   4.6000000e+01  -2.7460403e+04   3.4939043e+04
   4.7000000e+01   6.2196731e+04   2.2131895e+04
   4.8000000e+01   7.1746363e+04   1.5880414e+04
   4.9000000e+01  -1.2975249e+03   6.1337998e+03
   5.0000000e+01  -4.0679085e+04   4.3760695e+02
   5.1000000e+01  -2.5989518e+04   8.4077544e+03
   5.2000000e+01  -1.0841335e+04   1.4601559e+04
   5.3000000e+01  -7.5686748e+03   2.7389131e+04
   5.4000000e+01  -2.2414557e+04   4.5806120e+04
   5.5000000e+01  -2.0505400e+04   2.2084619e+04
   5.6000000e+01   3.5908058e+04  -2.4031441e+04
   5.7000000e+01   7.6022105e+04  -3.5375735e+04
   5.8000000e+01   2.7544577e+04  -1.4510707e+04
   5.9000000e+01  -6.3590081e+04   2.9875579e+04
   6.0000000e+01  -8.4750504e+04   6.0307690e+04
   6.1000000e+01   1.3471039e+04   2.2962143e+04
   6.2000000e+01   1.1322374e+05  -2.7748738e+04
   6.3000000e+01   6.8981597e+04  -1.8186442e+04
   6.4000000e+01  -4.8824879e+04   3.2576766e+03
   6.5000000e+01  -7.1509814e+04  -8.1475229e+03
   6.6000000e+01  -6.7174590e+03  -1.4847917e+03
   6.7000000e+01   3.5982925e+04   2.8463082e+04
   6.8000000e+01   2.8051595e+04   2.1892808e+04
   6.9000000e+01  -4.6333449e+02  -1.9574505e+04
   7.0000000e+01  -1.3746291e+04  -4.5070304e+04
   7.1000000e+01  -5.1108425e+03  -2.5774056e+04
   7.2000000e+01  -3.4057498e+03   1.4276362e+04
   7.3000000e+01  -2.9495431e+03   2.1586072e+04
   7.4000000e+01   9.7358313e+03  -5.9613787e+03
   7.5000000e+01  -2.9926539e+02  -2.9130745e+04
   7.6000000e+01  -2.7115064e+04  -2.7747906e+04
   7.7000000e+01  -1.8166708e+04   1.7663159e+02
   7.8000000e+01   8.2537130e+03   2.4028108e+04
   7.9000000e+01   9.6170559e+02   4.9553057e+03
   8.0000000e+01  -3.0493784e+04  -2.2666227e+04
   8.1000000e+01  -4.0540299e+04  -1.6892239e+04
   8.2000000e+01  -2.7392103e+03  -1.6707526e+04
   8.3000000e+01   4.3062200e+04  -2.8678724e+04
   8.4000000e+01   3.8580490e+04  -1.3750296e+04
   8.5000000e+01  -3.2040931e+02  -1.0332278e+03
   8.6000000e+01  -3.5331019e+04  -6.1130036e+03
   8.7000000e+01  -4.2517169e+04  -4.4734603e+03
   8.8000000e+01   1.5247566e+03  -2.0097373e+04
   8.9000000e+01   4.9426572e+04  -4.3276912e+04
   9.0000000e+01   3.2031131e+04  -2.5459744e+04
   9.1000000e+01  -1.7074107e+04   4.1369271e+03
   9.2000000e+01  -3.4103622e+04   4.5287683e+03
   9.3000000e+01  -1.9633197e+04  -3.9728107e+03
   9.4000000e+01   4.6717723e+03  -2.9114322e+03
   9.5000000e+01   1.2172593e+04   1.0389380e+04
   9.6000000e+01  -1.5885640e+04   1.9554077e+04
   9.7000000e+01  -3.5859313e+04  -1.5446502e+04
   9.8000000e+01  -2.1307985e+04  -5.8005288e+04
   9.9000000e+01  -1.5492859e+04  -2.6859055e+04
   1.0000000e+02  -7.4542482e+03   3.9245160e+04
   1.0100000e+02   2.7198032e+04   5.0429196e+04
   1.0200000e+02   2.3421399e+04   8.7879722e+03
   1.0300000e+02  -2.6940701e+04  -3.0940811e+04
   1.0400000e+02  -4.2831118e+04  -3.2065055e+04
   1.0500000e+02  -1.1334588e+04  -3.9154105e+03
   1.0600000e+02   3.2645032e+04   1.7271249e+04
   1.0700000e+02   5.9516614e+04   2.0566297e+04
   1.0800000e+02   3.0994201e+04   1.5918417e+04
   1.0900000e+02  -1.9688026e+04   8.5085032e+03
   1.1000000e+02  -2.5169689e+04   2.4146092e+03
   1.1100000e+02  -1.0503700e+04  -4.4918702e+03
   1.1200000e+02  -4.0802652e+03  -1.2054102e+04
   1.1300000e+02   1.7753007e+04  -9.3593979e+02
   1.1400000e+02   3.5309866e+04   2.3581243e+04
   1.1500000e+02   2.1669178e+04   3.0985949e+04
   1.1600000e+02  -1.0495118e+04   2.9228972e+04
   1.1700000e+02  -4.4395894e+04   2.1022746e+04
   1.1800000e+02  -4.1632838e+04  -1.4549381e+04
   1.1900000e+02   1.1253545e+04  -3.2378420e+04
   1.2000000e+02   5.6559180e+04   1.7747152e+04
   1.2100000e+02   6.0974431e+04   6.7893803e+04
   1.2200000e+02   3.0787515e+04   3.3344026e+04
   1.2300000e+02  -2.2642039e+04  -3.9287688e+04
   1.2400000e+02  -3.2881613e+04  -4.8469709e+04
   1.2500000e+02   3.0036607e+04   1.9645461e+04
   1.2600000e+02   7.1457543e+04   7.6157499e+04
   1.2700000e+02   3.7439802e+04   3.8048228e+04
   1.2800000e+02  -9.8232589e+03  -3.0045767e+04
   1.2900000e+02  -1.1487421e+04  -2.0166331e+04
   1.3000000e+02   2.6325534e+04   2.6187110e+04
   1.3100000e+02   3.4851343e+04   3.9859151e+04
   1.3200000e+02  -2.3508079e+04   2.2705695e+04
   1.3300000e+02  -6.2242052e+04  -2.1089182e+04
   1.3400000e+02  -1.5193273e+04  -4.7710354e+04
   1.3500000e+02   3.8040916e+04  -1.9974873e+04
   1.3600000e+02   2.4288965e+04   1.2391232e+04
   1.3700000e+02  -2.0457035e+04   1.1495165e+04
   1.3800000e+02  -4.3571600e+04  -7.1617974e+03
   1.3900000e+02  -2.3417390e+04  -2.4230983e+04
   1.4000000e+02   2.4288075e+04  -1.9609073e+04
   1.4100000e+02   4.0632048e+04   4.2809084e+03
   1.4200000e+02   3.4802439e+03   1.7336273e+04
   1.4300000e+02  -3.2879766e+04   1.4063073e+04
   1.4400000e+02  -1.5329815e+04   2.1374651e+03
   1.4500000e+02   3.5659724e+04  -1.5242399e+04
   1.4600000e+02   4.3685174e+04  -1.1499052e+04
   1.4700000e+02  -1.0599694e+04   1.0866947e+04
   1.4800000e+02  -4.8063221e+04   1.5032775e+04
   1.4900000e+02  -2.5693355e+04   7.9329809e+03
   1.5000000e+02  -2.2024942e+03   1.7593668e+03
   1.5100000e+02  -1.5656070e+04  -1.2493843e+04
   1.5200000e+02  -3.1638177e+04  -2.5038218e+04
   1.5300000e+02  -2.5228856e+04  -3.2008614e+04
   1.5400000e+02  -2.0401963e+03  -2.8304594e+04
   1.5500000e+02   9.5179217e+03   1.1066037e+03
   1.5600000e+02  -2.8063695e+04   2.3500809e+04
   1.5700000e+02  -7.4267335e+04  -2.5227082e+02
   1.5800000e+02  -4.6060888e+04  -3.4870414e+04
   1.5900000e+02   3.1293556e+04  -3.9960248e+04
   1.6000000e+02   5.6912098e+04  -2.3617107e+04
   1.6100000e+02   6.6723889e+03   1.0208379e+04
   1.6200000e+02  -4.2078238e+04   3.9201497e+04
   1.6300000e+02  -2.1160704e+04   2.5046185e+04
   1.6400000e+02   3.2201819e+04  -7.2740548e+03
   1.6500000e+02   3.7196272e+04  -1.5820931e+04
   1.6600000e+02   4.2668613e+03  -4.6217956e+03
   1.6700000e+02  -9.1878942e+03   7.2122286e+03
   1.6800000e+02  -1.4105248e+04   4.2046212e+03
   1.6900000e+02  -1.7296654e+04  -6.0882971e+03
   1.7000000e+02   7.1162646e+03   1.1875239e+03
   1.7100000e+02   1.9926151e+04   1.1537374e+04
   1.7200000e+02  -1.3295914e+04  -1.1816721e+04
   1.7300000e+02  -4.7689214e+04  -4.4932503e+04
   1.7400000e+02  -3.7889126e+04  -3.1523544e+04
   1.7500000e+02   1.7019810e+04   1.5457355e+04
   1.7600000e+02   5.6175561e+04   3.5971528e+04
   1.7700000e+02   1.8508144e+04   8.9798307e+03
   1.7800000e+02  -3.4541017e+04  -2.4800060e+04
   1.7900000e+02  -1.2689629e+04  -1.2639710e+04
   1.8000000e+02   4.1697296e+04   2.0260212e+04
   1.8100000e+02   4.2749963e+04   1.4378775e+04
   1.8200000e+02  -1.9953733e+03  -1.9505762e+03
   1.8300000e+02  -3.0781567e+04   1.0948249e+04
   1.8400000e+02  -1.0049151e+04   1.5593825e+04
   1.8500000e+02   2.6379203e+04   5.3271436e+03
   1.8600000e+02   2.3710738e+04   9.4577004e+03
   1.8700000e+02   5.6863348e+03  -1.1071512e+03
   1.8800000e+02   9.6425410e+03  -2.9168538e+04
   1.8900000e+02   1.6406895e+03  -2.1283560e+04
   1.9000000e+02  -2.4914772e+04   1.4590962e+04
   1.9100000e+02  -3.0453694e+04   3.4579273e+04
   1.9200000e+02  -7.3772106e+03   2.3202186e+04
   1.9300000e+02   2.8690049e+04  -1.4909655e+04
   1.9400000e+02   4.6363191e+04  -4.0816481e+04
   1.9500000e+02   2.1439551e+04  -2.9291950e+04
   1.9600000e+02  -5.4619361e+03  -1.0750470e+03
   1.9700000e+02   1.5176925e+04   3.3453390e+04
   1.9800000e+02   5.3016906e+04   4.9704866e+04
   1.9900000e+02   5.1170938e+04   1.2573467e+04
   2.0000000e+02   7.5047523e+03  -2.3279381e+04
   2.0100000e+02  -3.3280642e+04  -2.4938602e+03
   2.0200000e+02  -2.3876263e+04   1.3994156e+04
   2.0300000e+02   1.3774403e+04  -1.2874328e+03
   2.0400000e+02   9.6967568e+03   9.6237241e+02
   2.0500000e+02  -2.8547059e+04   8.4917148e+03
   2.0600000e+02  -4.9019635e+04  -5.0749887e+03
   2.0700000e+02  -4.0566670e+04  -2.0297379e+04
   2.0800000e+02  -3.0205154e+03  -2.4811149e+04
   2.0900000e+02   3.0880760e+04  -7.7784340e+03
   2.1000000e+02   1.4006095e+04   1.9113474e+04
   2.1100000e+02  -1.5206686e+04   1.3150372e+04
   2.1200000e+02   1.7662114e+03  -1.0920343e+04
   2.1300000e+02   3.2738347e+04  -7.4635825e+03
   2.1400000e+02   2.6281359e+04   2.4031420e+01
   2.1500000e+02   5.1106568e+02  -6.7789232e+03
   2.1600000e+02  -2.4874730e+03   5.0109432e+03
   2.1700000e+02   2.0564797e+04   1.9130378e+04
   2.1800000e+02   3.1322389e+04   1.5269961e+04
   2.1900000e+02  -4.9623068e+03   1.5381879e+04
   2.2000000e+02  -4.5929536e+04   9.6165478e+03
   2.2100000e+02  -2.3935296e+04   7.0659483e+03
   2.2200000e+02   1.9851575e+04   2.5306888e+04
   2.2300000e+02   9.5322274e+03   2.5609471e+04
   2.2400000e+02  -3.3552993e+04   4.6212156e+03
   2.2500000e+02  -5.9824048e+04  -1.3708795e+04
   2.2600000e+02  -5.1933700e+04  -2.4363029e+04
   2.2700000e+02  -9.2734079e+03   1.0914237e+03
   2.2800000e+02   3.4456353e+04   4.1460609e+04
   2.2900000e+02   4.4269823e+04   2.2547629e+04
   2.3000000e+02   1.3836190e+04  -3.6013104e+04
   2.3100000e+02  -3.7847381e+04  -5.3221550e+04
   2.3200000e+02  -5.0256733e+04  -1.9581705e+04
   2.3300000e+02  -5.2517119e+03   3.2400040e+04
   2.3400000e+02   3.4553540e+04   6.2410201e+04
   2.3500000e+02   4.4229772e+04   2.0585799e+04
   2.3600000e+02   2.9428916e+04  -4.7725281e+04
   2.3700000e+02  -1.5231508e+04  -3.8701133e+04
   2.3800000e+02  -3.7623820e+04   2.8546233e+04
   2.3900000e+02  -6.9622632e+03   5.4733019e+04
   2.4000000e+02   9.7077034e+03   1.4303111e+04
   2.4100000e+02  -1.1039925e+04  -2.6443653e+04
   2.4200000e+02  -2.1309191e+04  -1.0392812e+04
   2.4300000e+02  -1.3145244e+04   1.4540415e+04
   2.4400000e+02   8.2854211e+02  -1.3121404e+04
   2.4500000e+02   6.2251266e+03  -4.5508575e+04
   2.4600000e+02  -1.5984729e+04  -3.0955003e+04
   2.4700000e+02  -2.2580467e+04  -9.3856143e+03
   2.4800000e+02   8.9550986e+03  -6.0412043e+03
   2.4900000e+02   3.1062237e+03  -1.9783230e+02
   2.5000000e+02  -4.2278065e+04  -6.7115141e+03
   2.5100000e+02  -3.5218020e+04  -2.8585511e+04
   2.5200000e+02   2.5070471e+04  -2.4547497e+04
   2.5300000e+02   6.0281878e+04   4.7903605e+02
   2.5400000e+02   2.8537378e+04   8.1773290e+03
   2.5500000e+02  -4.1071811e+04  -5.7454072e+03
   2.5600000e+02  -6.5466473e+04  -2.3604391e+04
   2.5700000e+02  -1.1106628e+04  -1.5509715e+04
   2.5800000e+02   5.4301260e+04   1.5845330e+04
   2.5900000e+02   6.6567934e+04   8.0204939e+03
   2.6000000e+02   3.2911917e+04  -3.4084421e+04
   2.6100000e+02  -1.2376043e+03  -3.5019937e+04
   2.6200000e+02  -3.2314380e+03  -1.5967847e+04
   2.6300000e+02   9.0381776e+03  -1.7413557e+04
   2.6400000e+02   5.2751599e+03   1.5758125e+03
   2.6500000e+02   5.7607545e+02   2.2399463e+04
   2.6600000e+02   1.4691939e+04  -1.1993297e+03
   2.6700000e+02   2.8499576e+04  -2.2275739e+04
   2.6800000e+02   1.9044836e+04  -1.6073222e+03
   2.6900000e+02  -1.7797604e+04   3.0248639e+04
   2.7000000e+02  -6.4248299e+04   2.8771184e+04
   2.7100000e+02  -7.1014398e+04  -8.0249335e+03
   2.7200000e+02  -1.4641771e+04  -1.7187193e+04
   2.7300000e+02   5.0798949e+04   1.8310873e+04
   2.7400000e+02   5.6620648e+04   2.2245099e+04
   2.7500000e+02  -9.2717808e+03  -1.2290209e+04
   2.7600000e+02  -7.1693139e+04  -1.5767594e+04
   2.7700000e+02  -3.2374854e+04   6.0931460e+02
   2.7800000e+02   5.5034845e+04   3.4226831e+03
   2.7900000e+02   5.9169863e+04   1.5289743e+04
   2.8000000e+02   1.9464057e+04   2.6106664e+04
   2.8100000e+02   2.8564597e+04   1.7550721e+04
   2.8200000e+02   3.8095043e+04   1.5397838e+04
   2.8300000e+02   6.5378514e+03   2.1167753e+04
   2.8400000e+02  -2.3893621e+04   1.7582145e+04
   2.8500000e+02  -4.1159375e+04   9.3205898e+03
   2.8600000e+02  -4.2065931e+04   4.0119844e+03
   2.8700000e+02  -1.9281205e+03   1.0904290e+04
   2.8800000e+02   4.8987486e+04   2.3094860e+04
   2.8900000e+02   5.0753322e+04   1.1703249e+04
   2.9000000e+02  -2.7142691e+03  -6.3048779e+03
   2.9100000e+02  -6.1772207e+04   3.5627866e+03
   2.9200000e+02  -6.1727711e+04   9.5254958e+03
   2.9300000e+02   3.0483942e+03   1.0081874e+03
   2.9400000e+02   5.5244687e+04   1.7998902e+04
   2.9500000e+02   3.7482518e+04   3.4154437e+04
   2.9600000e+02  -1.5274391e+04   1.5478742e+04
   2.9700000e+02  -2.4972892e+04  -1.3562118e+03
   2.9800000e+02   3.4954697e+04   2.0910616e+03
   2.9900000e+02   8.7812124e+04   9.7730665e+03
   3.0000000e+02   5.0238787e+04   1.2440180e+04
   3.0100000e+02  -3.4730351e+04   4.1027444e+03
   3.0200000e+02  -7.9602013e+04   6.2403554e+02
   3.0300000e+02  -7.5232566e+04   1.4189505e+04
   3.0400000e+02  -3.0559685e+04   9.9328707e+03
   3.0500000e+02   3.5380075e+04  -2.0793968e+04
   3.0600000e+02   5.5296612e+04  -2.8420277e+04
   3.0700000e+02   2.3540454e+04  -1.8115157e+03
   3.0800000e+02   3.1821007e+03   2.1945784e+04
   3.0900000e+02   2.5181904e+03   1.2472131e+04
   3.1000000e+02  -4.8119468e+03  -2.3661482e+04
   3.1100000e+02  -2.0693868e+04  -2.3124428e+04
   3.1200000e+02  -3.0855046e+04   2.1718780e+04
   3.1300000e+02  -2.0481646e+04   2.3526452e+04
   3.1400000e+02  -9.1171440e+03  -1.9008955e+04
   3.1500000e+02  -2.1321152e+04  -3.2185962e+04
   3.1600000e+02  -2.6451250e+04  -2.4283845e+04
   3.1700000e+02  -5.0594171e+03  -2.3635107e+04
   3.1800000e+02   8.8179466e+03  -2.0665953e+04
   3.1900000e+02   7.8354822e+03  -3.3175778e+04
   3.2000000e+02   1.5249915e+03  -5.8058343e+04
   3.2100000e+02  -2.9788512e+04  -4.8209391e+04
   3.2200000e+02  -6.4343740e+04  -1.4451915e+04
   3.2300000e+02  -4.9389106e+04   5.0850110e+02
   3.2400000e+02   4.9739086e+03  -6.6884311e+03
