   1.0274000e+02   2.5123000e+01
   1.0276410e+02   2.8959300e+01
   0.0000000e+00   7.7654093e+04   7.7654093e+04
   1.0000000e+00  -1.0058461e+05   9.3394581e+04
   2.0000000e+00  -1.9124534e+05  -5.3421783e+04
   3.0000000e+00   4.6864003e+04  -1.5299348e+05
   4.0000000e+00   2.5525872e+05   2.2335777e+04
   5.0000000e+00   3.3205893e+04   2.2344123e+05
   6.0000000e+00  -2.4996127e+05   8.9255614e+04
   7.0000000e+00  -1.0832505e+05  -1.7301222e+05
   8.0000000e+00   1.7597613e+05  -1.6913657e+05
   9.0000000e+00   1.1711111e+05   1.0833497e+04
   1.0000000e+01  -6.8135363e+04   8.3477955e+04
   1.1000000e+01   1.1105316e+04   7.3534552e+04
   1.2000000e+01   1.3794798e+05   5.6978889e+04
   1.3000000e+01  -3.3201837e+04   1.2902676e+04
   1.4000000e+01  -2.5098510e+05  -7.7120919e+04
   1.5000000e+01  -1.0580868e+05  -1.5305434e+05
   1.6000000e+01   1.5606321e+05  -3.4092584e+03
   1.7000000e+01   1.6136132e+05   2.4936909e+05
   1.8000000e+01   5.5267509e+04   1.8953185e+05
   1.9000000e+01  -5.7128388e+04  -1.2012331e+05
   2.0000000e+01  -2.0994823e+05  -2.8592586e+05
   2.1000000e+01  -1.5025594e+05  -1.6993451e+05
   2.2000000e+01   1.4988515e+05   4.9321421e+04
   2.3000000e+01   1.8864740e+05   1.6105557e+05
   2.4000000e+01  -5.4252821e+04   1.3967134e+05
   2.5000000e+01  -3.7279391e+04   4.5161153e+04
   2.6000000e+01   1.0586982e+05  -7.1345376e+04
   2.7000000e+01  -6.5547380e+04  -1.3055731e+05
   2.8000000e+01  -2.3134040e+05  -4.9453752e+04
   2.9000000e+01   3.8667796e+04   8.7219852e+04
   3.0000000e+01   3.6212198e+05   1.0161540e+05
   3.1000000e+01   1.3325388e+05   3.3131586e+04
   3.2000000e+01  -3.3108188e+05  -1.6435569e+04
   3.3000000e+01  -3.0476053e+05  -5.3882099e+04
   3.4000000e+01   6.7178126e+04  -5.3211631e+04
   3.5000000e+01   1.9332890e+05   2.1899440e+04
   3.6000000e+01   3.4148500e+04   1.1400490e+05
   3.7000000e+01  -5.4865245e+04   7.5791290e+04
   3.8000000e+01  -4.7270913e+03  -8.4888298e+04
   3.9000000e+01  -3.3041610e+02  -1.4688130e+05
   4.0000000e+01  -2.2656744e+04  -2.3320175e+04
   4.1000000e+01  -8.6259771e+03   1.2874831e+05
   4.2000000e+01   9.1189246e+03   1.2074395e+05
   4.3000000e+01   2.6986236e+03  -1.9389300e+04
   4.4000000e+01  -3.8011368e+04  -1.1208168e+05
   4.5000000e+01  -1.9405315e+03  -7.2549955e+04
   4.6000000e+01   9.5860497e+04   4.7107048e+04
   4.7000000e+01   8.1856195e+04   8.1401351e+04
   4.8000000e+01  -1.9067169e+04   1.5477859e+02
   4.9000000e+01  -7.2180514e+04  -2.4871898e+04
   5.0000000e+01  -3.7413510e+03   2.7422709e+04
   5.1000000e+01   1.0594530e+05   4.0337240e+04
   5.2000000e+01   7.4122298e+04  -1.2820232e+04
   5.3000000e+01  -8.0161379e+04  -5.5490282e+04
   5.4000000e+01  -1.2835831e+05  -3.7117078e+04
