   1.0274000e+02   2.5123000e+01
   9.5281594e+01   3.1536866e+01
   0.0000000e+00   3.7147792e+04   3.7147792e+04
   1.0000000e+00   6.3205523e+04   3.5934296e+03
   2.0000000e+00   3.9258417e+04  -2.7130869e+04
   3.0000000e+00  -3.4061126e+04  -2.7089725e+04
   4.0000000e+00  -6.9965678e+04   3.3493332e+04
   5.0000000e+00  -2.0753820e+04   9.8131691e+04
   6.0000000e+00   5.2649591e+04   6.4907497e+04
   7.0000000e+00   6.3836595e+04  -5.4826186e+04
   8.0000000e+00   1.3372873e+04  -1.0751029e+05
   9.0000000e+00  -3.0626002e+04  -7.0028978e+03
   1.0000000e+01  -4.0267704e+04   1.1067709e+05
   1.1000000e+01  -2.4005288e+04   7.2680679e+04
   1.2000000e+01   3.3983543e+04  -6.7751085e+04
   1.3000000e+01   1.2165981e+05  -1.2207407e+05
   1.4000000e+01   1.2103073e+05  -3.3184329e+04
   1.5000000e+01  -3.7161280e+04   7.1401999e+04
   1.6000000e+01  -1.6812680e+05   4.7658018e+04
   1.7000000e+01  -7.2213487e+04  -6.9298151e+04
   1.8000000e+01   1.1398787e+05  -1.1509386e+05
   1.9000000e+01   1.3938737e+05  -2.6094840e+04
   2.0000000e+01   2.9755691e+04   9.1426923e+04
   2.1000000e+01  -4.9480412e+04   9.2138578e+04
   2.2000000e+01  -6.3580284e+04  -1.4712290e+04
   2.3000000e+01  -3.6240814e+04  -7.5140063e+04
   2.4000000e+01   1.5051755e+04  -3.0486622e+04
   2.5000000e+01   4.1030426e+04   2.6259362e+04
   2.6000000e+01   1.2316456e+04   2.4755134e+04
   2.7000000e+01  -4.4125149e+04  -3.1861766e+03
   2.8000000e+01  -5.2184278e+04  -1.8188420e+04
   2.9000000e+01   1.3279675e+04  -2.7899488e+04
   3.0000000e+01   4.1216410e+04  -3.7689460e+04
   3.1000000e+01  -1.8727581e+04  -4.0992793e+04
   3.2000000e+01  -4.0860027e+04  -1.8438109e+04
   3.3000000e+01   1.7332735e+04   2.7814007e+04
   3.4000000e+01   3.2255774e+04   3.9367504e+04
   3.5000000e+01  -1.6009000e+04  -1.1787526e+03
   3.6000000e+01  -2.5025709e+04  -4.6218317e+04
   3.7000000e+01   1.6756865e+04  -5.0439798e+04
   3.8000000e+01   4.5333232e+04   8.6126010e+02
   3.9000000e+01   1.0340430e+04   5.3779423e+04
   4.0000000e+01  -6.1720166e+04   4.1661180e+04
   4.1000000e+01  -5.6695706e+04  -1.7571685e+04
   4.2000000e+01   2.2323532e+04  -5.4226989e+04
   4.3000000e+01   2.8709450e+04  -4.0555024e+04
   4.4000000e+01  -5.5792609e+04  -7.2840292e+03
   4.5000000e+01  -8.0481263e+04   1.6489971e+04
   4.6000000e+01   1.1350609e+04   1.5919010e+04
   4.7000000e+01   7.0154081e+04  -8.9444628e+03
   4.8000000e+01  -3.7123968e+03  -2.7456729e+04
   4.9000000e+01  -8.0121046e+04  -1.3636117e+04
   5.0000000e+01  -3.1797107e+04   1.7349356e+04
   5.1000000e+01   4.7458942e+04   1.3194073e+04
   5.2000000e+01   2.2408782e+04  -1.5844749e+04
   5.3000000e+01  -3.4363967e+04   8.6391805e+03
   5.4000000e+01  -2.3225261e+03   5.5991563e+04
   5.5000000e+01   6.1224838e+04   4.3947791e+04
   5.6000000e+01   5.5977158e+04  -6.5359868e+02
   5.7000000e+01  -2.5541048e+04  -2.8234278e+04
   5.8000000e+01  -9.6896148e+04  -2.0324997e+04
   5.9000000e+01  -6.0631388e+04   2.5907050e+04
   6.0000000e+01   2.5133969e+04   5.2247829e+04
   6.1000000e+01   5.3619936e+04   1.3284025e+04
   6.2000000e+01   4.1314696e+04  -3.3402131e+04
   6.3000000e+01   5.7676766e+03  -3.1284061e+04
   6.4000000e+01  -5.0646734e+04  -4.3469600e+03
   6.5000000e+01  -5.7910785e+04   1.5478257e+04
   6.6000000e+01  -1.0249579e+04   1.9657235e+04
   6.7000000e+01   1.2463040e+04   1.1774071e+04
   6.8000000e+01   6.7224116e+03   7.9608364e+03
   6.9000000e+01   1.7711214e+04   8.9330247e+03
   7.0000000e+01   3.8408952e+04   3.8859220e+03
   7.1000000e+01   2.9726914e+04  -1.2088324e+03
   7.2000000e+01  -3.0782953e+04   1.0189858e+04
   7.3000000e+01  -8.4472571e+04   3.6266932e+04
   7.4000000e+01  -4.5501159e+04   5.2123640e+04
   7.5000000e+01   5.3084699e+04   3.5156036e+04
   7.6000000e+01   1.0218358e+05  -1.3625094e+04
   7.7000000e+01   5.6418581e+04  -4.9823882e+04
   7.8000000e+01  -2.5459744e+04  -3.6168485e+04
   7.9000000e+01  -5.3295842e+04   1.0464865e+03
   8.0000000e+01  -1.1814878e+04   1.9435511e+04
   8.1000000e+01   4.0966246e+04  -3.0414037e+03
   8.2000000e+01   4.6199564e+04  -3.2930979e+04
   8.3000000e+01   5.8658763e+03  -1.7051038e+04
   8.4000000e+01  -2.0721302e+04   7.7238846e+03
   8.5000000e+01  -9.6762244e+03   6.8776718e+03
   8.6000000e+01   2.7717418e+03   1.5257647e+04
   8.7000000e+01  -1.2470030e+04   2.6332951e+04
   8.8000000e+01  -3.6644017e+04   2.0769690e+04
   8.9000000e+01  -1.9084488e+04   1.7833565e+04
   9.0000000e+01   3.7811714e+04   1.5593179e+04
   9.1000000e+01   5.3293608e+04   2.9107161e+03
   9.2000000e+01   5.1932346e+02  -3.0369424e+03
   9.3000000e+01  -4.2449340e+04  -3.4618722e+03
   9.4000000e+01  -2.3986266e+04  -2.3179133e+04
   9.5000000e+01   2.9594845e+04  -4.0125109e+04
   9.6000000e+01   7.8370208e+04  -2.1445624e+04
   9.7000000e+01   8.8931707e+04   9.3143020e+03
   9.8000000e+01   4.1413366e+04   1.9972515e+04
   9.9000000e+01  -3.6625509e+04   3.0550362e+03
   1.0000000e+02  -6.0608416e+04  -2.1909535e+04
   1.0100000e+02   8.8717160e+03  -2.0045486e+04
   1.0200000e+02   7.2200552e+04   3.4850244e+03
   1.0300000e+02   4.0051646e+04   1.9731397e+04
   1.0400000e+02  -3.6643956e+04   2.6426185e+04
   1.0500000e+02  -8.1397116e+04   1.9066059e+04
   1.0600000e+02  -6.7427821e+04  -1.4495656e+04
   1.0700000e+02  -1.5590140e+03  -4.4791566e+04
   1.0800000e+02   5.2070596e+04  -2.9487905e+04
   1.0900000e+02   2.3016264e+04   1.5421709e+04
   1.1000000e+02  -4.5622236e+04   3.0464478e+04
   1.1100000e+02  -5.4731893e+04  -7.0951786e+03
   1.1200000e+02  -8.5620919e+03  -4.3196567e+04
   1.1300000e+02   2.8953826e+04  -3.0881123e+04
   1.1400000e+02   3.9807629e+04  -5.5678215e+03
   1.1500000e+02   3.4617282e+04  -4.9660879e+03
   1.1600000e+02   2.0045671e+04  -9.2547210e+03
   1.1700000e+02  -1.3705936e+04   2.2751892e+03
   1.1800000e+02  -4.6986898e+04   8.6011499e+03
   1.1900000e+02  -2.6941631e+04  -1.3128095e+04
   1.2000000e+02   2.1240001e+04  -3.0173200e+04
   1.2100000e+02   2.7688733e+04  -8.8256728e+03
   1.2200000e+02  -1.0335558e+03   9.8936440e+03
   1.2300000e+02  -2.6209589e+04  -9.5740490e+03
   1.2400000e+02  -4.3038452e+04  -1.8058013e+04
   1.2500000e+02  -4.5025053e+04   1.5277954e+04
   1.2600000e+02  -1.1654861e+04   3.1647577e+04
   1.2700000e+02   4.0248188e+04  -8.2990597e+02
   1.2800000e+02   5.1211090e+04  -3.5007127e+04
   1.2900000e+02  -3.5796698e+03  -2.6497136e+04
   1.3000000e+02  -6.1384704e+04   1.7949369e+04
   1.3100000e+02  -4.2767459e+04   4.4173457e+04
   1.3200000e+02   2.3653936e+04   2.3011514e+04
   1.3300000e+02   3.9437597e+04  -7.5869015e+03
   1.3400000e+02   4.3269107e+03  -1.3257403e+04
   1.3500000e+02  -9.3424549e+03   1.0538627e+03
   1.3600000e+02  -1.2472789e+04   1.6867191e+04
   1.3700000e+02  -4.1245599e+04   2.2539292e+04
   1.3800000e+02  -5.2661261e+04   7.7351565e+03
   1.3900000e+02  -1.4703226e+04  -2.6412234e+04
   1.4000000e+02   3.5864483e+04  -3.9106769e+04
   1.4100000e+02   4.8031972e+04  -1.2146693e+04
   1.4200000e+02   1.0034243e+04   1.5067277e+04
   1.4300000e+02  -3.3447031e+04   2.2698013e+04
   1.4400000e+02  -4.4991590e+04   2.3821936e+04
   1.4500000e+02  -2.2111208e+04   1.5300500e+04
   1.4600000e+02   2.4844504e+04  -1.3987682e+04
   1.4700000e+02   5.2691674e+04  -3.7761837e+04
   1.4800000e+02   3.0757036e+04  -2.0272791e+04
   1.4900000e+02  -1.9384672e+04   1.5673967e+04
   1.5000000e+02  -6.2906427e+04   2.4592991e+04
   1.5100000e+02  -5.9643268e+04   1.6105337e+04
   1.5200000e+02   1.4429453e+03   2.5886014e+04
   1.5300000e+02   5.3623167e+04   2.9585377e+04
   1.5400000e+02   2.9613511e+04  -9.8253170e+02
   1.5500000e+02  -2.2019379e+04  -1.1700514e+04
   1.5600000e+02  -1.3337619e+04   2.2800067e+04
   1.5700000e+02   2.4751243e+04   4.9954539e+04
   1.5800000e+02   1.9504650e+04   3.5068887e+04
   1.5900000e+02  -4.0120399e+03  -1.4994584e+04
   1.6000000e+02   9.7725901e+03  -5.3746289e+04
   1.6100000e+02   3.9605418e+04  -4.0601203e+04
   1.6200000e+02   3.0903462e+04   1.7490238e+03
   1.6300000e+02   3.2483675e+03   3.2361853e+04
   1.6400000e+02   3.1478289e+03   3.1601563e+04
   1.6500000e+02   9.9722708e+03  -7.4369307e+02
   1.6600000e+02   4.1688165e+03  -3.6670788e+04
   1.6700000e+02   5.0321344e+03  -2.7238103e+04
   1.6800000e+02   1.6048157e+04   2.4791136e+04
   1.6900000e+02   2.3921561e+04   4.9566603e+04
   1.7000000e+02   9.0213242e+03   3.1444309e+04
   1.7100000e+02  -2.6917618e+04   9.9500961e+03
   1.7200000e+02  -3.0530743e+04  -8.1864684e+03
   1.7300000e+02   1.5346548e+04  -2.1173808e+04
   1.7400000e+02   3.7082639e+04  -2.0730791e+04
   1.7500000e+02   7.5646019e+03  -3.2251771e+03
   1.7600000e+02  -7.7091591e+03   3.2236831e+04
   1.7700000e+02   6.5751185e+03   4.9675254e+04
   1.7800000e+02   1.1851523e+04   1.1103136e+04
   1.7900000e+02   4.5114050e+03  -5.0394982e+04
   1.8000000e+02  -1.4402315e+04  -6.2124314e+04
   1.8100000e+02  -3.7656678e+04  -8.3806686e+03
   1.8200000e+02  -2.1525061e+04   4.3652307e+04
   1.8300000e+02   2.3089884e+04   2.9738898e+04
   1.8400000e+02   2.0109120e+04  -2.3350967e+04
   1.8500000e+02  -2.7622677e+04  -4.2873817e+04
   1.8600000e+02  -4.8821059e+04  -1.7887960e+04
   1.8700000e+02  -1.8403845e+04   1.0245695e+04
   1.8800000e+02   4.0332462e+04   7.9079491e+03
   1.8900000e+02   6.4899161e+04  -2.8323735e+04
   1.9000000e+02   2.2834480e+04  -4.6391549e+04
   1.9100000e+02  -1.6774247e+04  -3.3041979e+03
   1.9200000e+02  -1.0270415e+04   4.2710811e+04
   1.9300000e+02   2.6380980e+03   1.9867292e+04
   1.9400000e+02   6.5929505e+03  -3.6108786e+04
   1.9500000e+02   1.4187958e+04  -5.2378097e+04
   1.9600000e+02   1.7467793e+04  -1.7005259e+04
   1.9700000e+02   8.5401531e+03   3.2495224e+04
   1.9800000e+02  -8.6183055e+03   2.6642185e+04
   1.9900000e+02  -2.6389419e+04  -3.4729115e+04
   2.0000000e+02  -3.1561023e+04  -4.0839094e+04
   2.0100000e+02  -2.4352286e+04   1.3921543e+04
   2.0200000e+02  -1.6079223e+04   2.0839868e+04
   2.0300000e+02  -2.2833323e+03  -2.0710013e+04
   2.0400000e+02   5.5487091e+03  -3.8853884e+04
   2.0500000e+02  -1.6480130e+04  -1.4476967e+04
   2.0600000e+02  -3.8932689e+04   1.6869080e+04
   2.0700000e+02  -8.6207234e+03   7.0505007e+03
   2.0800000e+02   5.3236479e+04  -3.0689222e+04
   2.0900000e+02   6.1038034e+04  -3.5355918e+04
   2.1000000e+02   1.6774643e+03  -4.1715228e+03
   2.1100000e+02  -3.5561865e+04   1.5923137e+04
   2.1200000e+02  -7.4753306e+03   1.7996227e+04
   2.1300000e+02   1.3224951e+04   1.1997349e+04
   2.1400000e+02  -3.1772323e+04   3.0451258e+03
   2.1500000e+02  -6.1646215e+04   1.6065039e+04
   2.1600000e+02   9.8927725e+03   3.0900216e+04
   2.1700000e+02   1.0186447e+05   1.6238890e+04
   2.1800000e+02   8.1942983e+04   7.8181510e+03
   2.1900000e+02  -4.9956488e+04   1.7732791e+04
   2.2000000e+02  -1.5500524e+05   1.6662010e+04
   2.2100000e+02  -1.2461773e+05   1.2753392e+02
   2.2200000e+02  -1.5163145e+04  -2.1293440e+04
   2.2300000e+02   6.7364259e+04  -2.4162419e+04
   2.2400000e+02   7.7130197e+04   4.2095581e+03
   2.2500000e+02   1.5351901e+04   2.1247870e+04
   2.2600000e+02  -6.0118695e+04  -8.3576522e+03
   2.2700000e+02  -7.3266224e+04  -3.3378886e+04
   2.2800000e+02  -1.2223551e+04  -7.1820278e+03
   2.2900000e+02   4.5741723e+04   2.4690374e+04
   2.3000000e+02   4.1066265e+04   1.9200849e+04
   2.3100000e+02   1.7348786e+04   3.4368276e+02
   2.3200000e+02   1.7113324e+04   1.3479574e+04
   2.3300000e+02   2.7312383e+04   5.2423895e+04
   2.3400000e+02   2.0560274e+04   4.9336357e+04
   2.3500000e+02  -1.8137572e+04  -1.2434360e+03
   2.3600000e+02  -4.6644843e+04  -1.7954767e+04
   2.3700000e+02  -1.7433352e+04   1.7206059e+04
   2.3800000e+02   3.8967423e+04   2.9369719e+04
   2.3900000e+02   5.2165007e+04  -3.4354562e+03
   2.4000000e+02  -4.6925093e+03  -1.6672133e+04
   2.4100000e+02  -8.1328248e+04   8.2069335e+03
   2.4200000e+02  -9.8609523e+04   2.8906718e+04
   2.4300000e+02  -2.8175625e+04   1.1819309e+04
   2.4400000e+02   6.4795364e+04  -3.5637529e+04
   2.4500000e+02   8.6009963e+04  -4.4503276e+04
   2.4600000e+02   2.9160679e+04   2.8632105e+03
   2.4700000e+02  -2.5268338e+04   3.3345584e+04
   2.4800000e+02  -8.5664294e+03   1.8716673e+04
   2.4900000e+02   5.0949789e+04  -1.6784233e+04
   2.5000000e+02   7.2152662e+04  -3.9690472e+04
   2.5100000e+02   4.6113717e+04  -1.9546261e+04
   2.5200000e+02   1.8881491e+04   2.3391131e+04
   2.5300000e+02   7.7057743e+03   3.9189443e+04
   2.5400000e+02   8.2203104e+02   1.5303989e+04
   2.5500000e+02  -9.9588945e+03  -1.4944660e+04
   2.5600000e+02  -2.0277272e+04  -2.3616040e+04
   2.5700000e+02  -1.9373869e+04  -1.6851416e+03
   2.5800000e+02   1.1512458e+04   3.7321505e+04
   2.5900000e+02   5.7617846e+04   4.0352323e+04
   2.6000000e+02   5.5256542e+04  -7.4307035e+01
   2.6100000e+02  -2.8429081e+04  -3.0391835e+04
   2.6200000e+02  -1.2341972e+05  -3.0738830e+04
   2.6300000e+02  -9.6239104e+04  -1.3888171e+04
   2.6400000e+02   4.3680134e+04  -3.3819040e+03
   2.6500000e+02   1.2002772e+05  -1.1665713e+04
   2.6600000e+02   7.6957422e+04  -1.7725026e+04
   2.6700000e+02  -1.0790853e+03  -1.5520666e+04
   2.6800000e+02  -6.4655547e+04  -1.5236470e+04
   2.6900000e+02  -6.4881741e+04  -8.6837946e+03
   2.7000000e+02   1.4817831e+04  -6.4809560e+02
   2.7100000e+02   7.6336634e+04  -4.9019136e+03
   2.7200000e+02   5.3065718e+04  -4.3726915e+03
   2.7300000e+02   2.4318528e+03   1.2887319e+03
   2.7400000e+02  -2.6999181e+04  -2.5161549e+03
   2.7500000e+02  -4.1918081e+04   4.0352456e+03
   2.7600000e+02  -4.0698227e+04  -6.1245321e+02
   2.7700000e+02  -2.0076644e+04  -3.6385670e+04
   2.7800000e+02   1.3904980e+04  -3.8952180e+04
   2.7900000e+02   3.0288459e+04  -2.4696102e+03
   2.8000000e+02  -4.8069432e+03   1.6427265e+04
   2.8100000e+02  -5.9237478e+04   1.2439998e+04
   2.8200000e+02  -9.0805673e+04  -3.2553764e+03
   2.8300000e+02  -8.2898354e+04  -1.6580641e+04
   2.8400000e+02  -2.0895223e+04  -1.8775776e+04
   2.8500000e+02   3.9369819e+04  -1.9756542e+04
   2.8600000e+02   3.3108072e+04  -1.0660811e+04
   2.8700000e+02   1.3961785e+04   1.6867292e+04
   2.8800000e+02   3.5018938e+04   3.4580016e+04
   2.8900000e+02   4.1615654e+04   1.1232625e+04
   2.9000000e+02   4.9817737e+03  -2.3574349e+04
   2.9100000e+02  -2.2286255e+04  -2.5040905e+04
   2.9200000e+02  -1.9012879e+04  -1.6796240e+04
   2.9300000e+02  -2.8688398e+03  -1.9438038e+04
   2.9400000e+02   1.9788712e+04  -6.1165792e+03
   2.9500000e+02   3.4483202e+04   2.6562950e+04
   2.9600000e+02   2.5201485e+04   4.4593971e+04
   2.9700000e+02  -5.0361310e+03   2.0475394e+04
   2.9800000e+02  -4.3147973e+04  -2.0290071e+04
   2.9900000e+02  -7.2883747e+04  -2.4599206e+04
   3.0000000e+02  -7.5260027e+04   6.4765582e+03
   3.0100000e+02  -4.1960465e+04   2.9386161e+04
   3.0200000e+02   4.5000752e+03   2.6598507e+04
   3.0300000e+02   3.1591908e+04   1.4681041e+04
   3.0400000e+02   2.5364051e+04   8.6204206e+03
   3.0500000e+02  -1.3968197e+04   1.7886932e+03
   3.0600000e+02  -6.4237018e+04  -1.4335098e+04
   3.0700000e+02  -6.9933945e+04  -2.2644688e+04
   3.0800000e+02   8.8819230e+02  -2.6350323e+03
   3.0900000e+02   9.1049849e+04   2.1322224e+04
   3.1000000e+02   1.2467289e+05   1.2780915e+04
   3.1100000e+02   8.3377938e+04  -4.8782807e+03
   3.1200000e+02  -1.1432253e+04   3.1988174e+03
   3.1300000e+02  -7.9985582e+04   1.3660062e+04
   3.1400000e+02  -5.2519572e+04   8.4958233e+03
   3.1500000e+02   1.6780584e+04   7.2125784e+03
   3.1600000e+02   5.1968927e+04   1.2352181e+04
   3.1700000e+02   5.7741832e+04   2.0023907e+04
   3.1800000e+02   4.4935079e+04   3.1186200e+04
   3.1900000e+02   1.2497143e+03   3.5245444e+04
   3.2000000e+02  -4.4372333e+04   2.9611825e+04
   3.2100000e+02  -3.9546213e+04   1.5582489e+04
   3.2200000e+02   5.7156579e+03   2.4428553e+03
   3.2300000e+02   2.4023392e+04   8.5790553e+03
   3.2400000e+02  -2.3689003e+04   1.5105325e+04
   3.2500000e+02  -6.9336588e+04  -3.4207655e+03
   3.2600000e+02  -1.3585468e+04  -2.0485595e+04
   3.2700000e+02   7.0916651e+04  -1.5002088e+04
   3.2800000e+02   3.7245355e+04  -1.6218914e+04
   3.2900000e+02  -4.9064127e+04  -3.3003558e+04
   3.3000000e+02  -3.3485287e+04  -3.2410266e+04
   3.3100000e+02   4.2737420e+04  -6.6754560e+03
   3.3200000e+02   5.3003073e+04   2.1558609e+04
   3.3300000e+02   1.1908244e+04   2.9333063e+04
   3.3400000e+02   1.8525124e+04   1.8551367e+04
   3.3500000e+02   8.4573064e+04   2.5976969e+04
   3.3600000e+02   1.1128900e+05   5.3511036e+04
   3.3700000e+02   4.3752165e+04   4.7009164e+04
   3.3800000e+02  -4.8764167e+04  -1.1475855e+04
   3.3900000e+02  -9.7995323e+04  -5.9811412e+04
   3.4000000e+02  -9.0408809e+04  -4.4058907e+04
   3.4100000e+02  -3.6264885e+04  -5.2590582e+03
   3.4200000e+02   1.8696804e+04  -2.2393790e+03
   3.4300000e+02   3.8784999e+04  -3.0187759e+04
   3.4400000e+02   1.3686487e+04  -6.2872411e+04
   3.4500000e+02  -4.2435842e+04  -7.4942972e+04
   3.4600000e+02  -6.6679251e+04  -4.9556188e+04
   3.4700000e+02  -3.4631050e+04  -4.5920268e+03
   3.4800000e+02   4.5774871e+03   2.1776894e+04
   3.4900000e+02   1.9051869e+04   1.4739511e+04
   3.5000000e+02   2.0825206e+04  -9.1146108e+03
   3.5100000e+02   1.9980178e+04  -2.9183588e+04
   3.5200000e+02   1.1418110e+04  -1.7718053e+04
   3.5300000e+02   7.8736207e+03   2.0109981e+04
   3.5400000e+02   1.7268375e+04   2.0875303e+04
   3.5500000e+02   2.1153750e+04  -2.3029162e+04
   3.5600000e+02   1.7919739e+04  -3.5274728e+04
   3.5700000e+02   1.1669193e+04   1.5369979e+04
   3.5800000e+02   1.0213773e+03   5.7403707e+04
   3.5900000e+02  -3.2646250e+03   2.9758233e+04
   3.6000000e+02  -4.4942516e+03  -1.6368423e+04
   3.6100000e+02  -1.0389625e+04  -2.0919352e+04
   3.6200000e+02  -2.2185994e+03   1.1809367e+03
   3.6300000e+02   2.0202078e+04   1.9560010e+04
   3.6400000e+02   1.8679010e+04   2.2101457e+04
   3.6500000e+02  -1.1128417e+04   1.6727246e+04
   3.6600000e+02  -4.4722311e+04  -1.3903803e+02
   3.6700000e+02  -6.2291402e+04  -3.0328234e+04
   3.6800000e+02  -2.5301977e+04  -2.8922599e+04
   3.6900000e+02   3.4824997e+04   8.6882860e+03
   3.7000000e+02   2.8932464e+04   2.5568816e+04
   3.7100000e+02  -2.4609465e+04   9.6885589e+03
   3.7200000e+02  -4.9292239e+04  -1.0416011e+04
   3.7300000e+02  -1.8689156e+04  -2.1008277e+04
   3.7400000e+02   3.2542835e+04  -1.7564622e+04
   3.7500000e+02   3.0404378e+04  -1.8296867e+03
   3.7600000e+02  -2.5822756e+04   9.6504804e+03
   3.7700000e+02  -5.9590654e+04   1.6551721e+03
   3.7800000e+02  -4.0101296e+04  -1.6585187e+04
   3.7900000e+02   1.3480135e+03  -1.3323063e+04
   3.8000000e+02   2.3030607e+04   1.6147741e+04
   3.8100000e+02   1.3802423e+04   2.6347839e+04
   3.8200000e+02   9.0099522e+02   2.4282601e+03
   3.8300000e+02  -1.4185571e+03  -1.7192293e+04
   3.8400000e+02  -1.5458519e+04  -1.0589366e+04
   3.8500000e+02  -3.3502743e+04   1.7560548e+04
   3.8600000e+02  -1.7599517e+04   3.6846067e+04
   3.8700000e+02   1.0537998e+04   1.1355475e+04
   3.8800000e+02   1.3506339e+04  -3.1294268e+04
   3.8900000e+02   1.0570432e+04  -2.4154157e+04
   3.9000000e+02   1.5041776e+04   3.0404469e+04
   3.9100000e+02   9.4153110e+03   5.6475645e+04
   3.9200000e+02  -7.0898713e+03   2.3382167e+04
   3.9300000e+02  -1.4742249e+04  -2.2549997e+04
   3.9400000e+02  -3.1877389e+03  -2.7504516e+04
   3.9500000e+02   2.4524472e+04   1.6261719e+04
   3.9600000e+02   5.1850183e+04   5.5064958e+04
   3.9700000e+02   4.5898358e+04   4.9510631e+04
   3.9800000e+02   2.2194758e+03   1.7202616e+04
   3.9900000e+02  -3.7165875e+04  -1.0436477e+04
   4.0000000e+02  -2.9737618e+04  -9.0034406e+03
   4.0100000e+02   1.4020614e+04   5.1952471e+03
   4.0200000e+02   2.3297336e+04   7.1671421e+03
   4.0300000e+02  -2.1770501e+04   6.2434013e+03
   4.0400000e+02  -3.4025146e+04   1.3128690e+03
   4.0500000e+02   2.4550930e+04  -9.8234327e+03
   4.0600000e+02   6.0257780e+04  -1.7188977e+04
   4.0700000e+02   1.6049786e+04  -7.6339735e+03
   4.0800000e+02  -3.6066982e+04   1.3009393e+04
   4.0900000e+02  -3.2405706e+04   1.5919726e+03
   4.1000000e+02   1.2690394e+04  -2.5106477e+04
   4.1100000e+02   4.7690578e+04  -1.0730375e+04
   4.1200000e+02   3.2545087e+04   1.9084157e+04
   4.1300000e+02   3.6647712e+03   1.8208264e+04
   4.1400000e+02   6.3183454e+03  -8.1133896e+03
   4.1500000e+02   2.0043978e+04  -2.4550185e+04
   4.1600000e+02   1.9447390e+04  -8.8771363e+03
   4.1700000e+02  -5.3703535e+03   1.1989269e+04
   4.1800000e+02  -2.8582182e+04   6.3539412e+03
   4.1900000e+02  -7.9306723e+03  -1.0531942e+04
