   1.0274000e+02   2.5123000e+01
   1.0367140e+02   2.4886100e+01
   0.0000000e+00  -1.3866409e+06  -1.3866409e+06
   1.0000000e+00   1.8465041e+05  -1.1050314e+06
   2.0000000e+00   1.3658973e+06   6.2848734e+05
   3.0000000e+00   8.5123875e+05   1.4030036e+06
   4.0000000e+00  -5.1740921e+05   6.8704698e+05
   5.0000000e+00  -1.0837698e+06  -4.9876126e+05
   6.0000000e+00  -2.3624328e+05  -1.1621411e+06
   7.0000000e+00   7.9204385e+05  -5.3242498e+05
   8.0000000e+00   5.5689791e+05   7.7465816e+05
   9.0000000e+00  -4.2842230e+05   1.0324236e+06
   1.0000000e+01  -5.9674077e+05  -5.3211501e+04
   1.1000000e+01   6.1491866e+04  -8.9183387e+05
   1.2000000e+01   4.1286375e+05  -5.1496694e+05
   1.3000000e+01   1.3240153e+05   4.0491895e+05
   1.4000000e+01  -2.3023648e+05   7.0554021e+05
   1.5000000e+01  -2.6986019e+05  -1.0036569e+03
   1.6000000e+01  -1.0094158e+05  -6.8080923e+05
   1.7000000e+01   1.3568208e+05  -4.0158625e+05
   1.8000000e+01   2.9911279e+05   4.5320159e+05
   1.9000000e+01   1.6849964e+05   8.4790284e+05
   2.0000000e+01  -1.9060741e+05  -5.3188515e+03
   2.1000000e+01  -4.0656988e+05  -1.0377976e+06
   2.2000000e+01  -1.4305965e+05  -5.3390772e+05
   2.3000000e+01   2.5805900e+05   7.5417988e+05
   2.4000000e+01   1.8602963e+05   9.1076691e+05
   2.5000000e+01  -1.6979816e+05  -2.3061918e+05
   2.6000000e+01  -1.8128221e+05  -1.0239606e+06
   2.7000000e+01   2.4412387e+05  -4.9630026e+05
   2.8000000e+01   3.6500563e+05   2.8925490e+05
   2.9000000e+01  -1.7941478e+05   4.0347256e+05
   3.0000000e+01  -5.1076627e+05   1.2451680e+05
   3.1000000e+01   1.8888223e+03   1.3654684e+04
   3.2000000e+01   7.2803237e+05   7.5962976e+05
   3.3000000e+01   6.3028582e+05   1.7624477e+06
   3.4000000e+01  -2.8475832e+05   5.6934591e+05
   3.5000000e+01  -8.4652395e+05  -2.3031151e+06
   3.6000000e+01  -3.8817159e+05  -2.1187100e+06
   3.7000000e+01   4.0123359e+05   1.0574950e+06
   3.8000000e+01   4.0248393e+05   1.3903794e+06
   3.9000000e+01  -2.4300711e+05  -1.0180069e+06
   4.0000000e+01  -4.7470281e+05  -1.1251132e+06
   4.1000000e+01  -2.1134766e+05   4.5237108e+05
   4.2000000e+01   1.4822018e+05   3.5801295e+05
   4.3000000e+01   3.0170238e+05  -6.4732284e+05
   4.4000000e+01  -7.1880021e+04  -5.5748110e+05
   4.5000000e+01  -4.0243720e+05   3.2959030e+05
   4.6000000e+01  -5.7281850e+04   6.7905257e+05
   4.7000000e+01   4.4214002e+05   2.7103490e+05
   4.8000000e+01   3.5815204e+05   8.7020835e+04
   4.9000000e+01  -1.1940522e+05   2.1523098e+05
   5.0000000e+01  -2.8401117e+05  -6.8518874e+04
   5.1000000e+01  -3.8673049e+04  -2.5315187e+05
   5.2000000e+01   2.3914372e+05   1.3504706e+05
   5.3000000e+01   2.6802413e+05   3.4588871e+05
   5.4000000e+01   3.3804467e+04   1.3651675e+05
   5.5000000e+01  -1.9857401e+05  -1.1236066e+05
   5.6000000e+01  -2.4241687e+05  -2.4342896e+05
   5.7000000e+01  -1.3055724e+04  -1.5083062e+05
   5.8000000e+01   2.4152068e+05   1.0188525e+04
   5.9000000e+01   9.1388285e+04  -4.3713160e+04
   6.0000000e+01  -2.3184669e+05  -1.1371960e+05
   6.1000000e+01  -2.3132504e+05   3.7665436e+04
   6.2000000e+01   1.1789269e+05   1.4018884e+05
   6.3000000e+01   3.4418063e+05   4.9515039e+04
   6.4000000e+01   1.0070539e+05  -7.7482959e+04
   6.5000000e+01  -2.4720929e+05  -1.7467430e+05
   6.6000000e+01  -2.3677272e+05  -4.5995971e+04
   6.7000000e+01   9.7835926e+04   2.7000950e+05
   6.8000000e+01   3.1513838e+05   2.6368417e+05
   6.9000000e+01   1.6181343e+05  -1.1492879e+05
   7.0000000e+01  -9.6027671e+04  -2.6106864e+05
   7.1000000e+01  -2.3447944e+05   1.0799169e+04
   7.2000000e+01  -1.2029700e+05   1.7671093e+05
   7.3000000e+01   1.6031968e+05   9.9977778e+04
   7.4000000e+01   2.0166431e+05  -1.7874874e+04
   7.5000000e+01  -3.0316078e+02  -1.8070257e+05
   7.6000000e+01  -1.5757228e+05  -1.0436943e+05
   7.7000000e+01  -1.1945418e+05   1.5063858e+05
   7.8000000e+01   7.7983399e+04   1.1902282e+05
   7.9000000e+01   1.8726093e+05   2.4589983e+03
   8.0000000e+01   4.6983395e+04   3.2456413e+04
   8.1000000e+01  -1.5124553e+05   3.7004956e+04
   8.2000000e+01  -8.0131394e+04  -1.1913012e+04
   8.3000000e+01   9.4606168e+04  -6.6749140e+03
   8.4000000e+01   7.1921852e+04   7.0523295e+03
   8.5000000e+01   1.0509720e+04  -6.8328195e+04
   8.6000000e+01  -3.4309019e+04  -2.0865741e+04
   8.7000000e+01  -8.3952740e+04   1.2104291e+05
   8.8000000e+01  -4.1463075e+04   3.4459183e+04
   8.9000000e+01   4.5854796e+04  -1.1097897e+05
   9.0000000e+01   6.3826918e+04  -7.7799959e+04
   9.1000000e+01  -7.0435938e+04   2.3146232e+04
   9.2000000e+01  -1.4181362e+05  -1.8775675e+04
   9.3000000e+01   3.8765390e+04  -1.2072951e+05
   9.4000000e+01   1.9375838e+05   5.8324015e+04
   9.5000000e+01   5.6944443e+04   2.4928953e+05
   9.6000000e+01  -2.1765739e+05   1.5745769e+04
   9.7000000e+01  -1.8508754e+05  -2.5065882e+05
   9.8000000e+01   1.2011549e+05  -8.0695015e+04
   9.9000000e+01   2.4063726e+05   1.9539876e+05
   1.0000000e+02   1.1253021e+05   1.1959515e+05
   1.0100000e+02  -1.2503739e+05  -8.1252876e+04
   1.0200000e+02  -2.1308747e+05  -1.3057897e+05
   1.0300000e+02  -1.7281101e+04  -6.3032595e+04
   1.0400000e+02   1.4015541e+05   8.6930569e+04
   1.0500000e+02   7.5951174e+04   7.9421460e+04
   1.0600000e+02  -1.0270147e+05  -1.2829205e+05
   1.0700000e+02  -1.7806552e+05  -1.7095986e+05
   1.0800000e+02  -3.1778131e+04   4.6199179e+04
   1.0900000e+02   1.4267788e+05   1.8632114e+05
   1.1000000e+02   1.0962499e+05   2.3149072e+04
   1.1100000e+02  -1.0433702e+05  -1.0803132e+05
   1.1200000e+02  -1.5829821e+05  -5.7806745e+02
   1.1300000e+02   1.0395294e+04   5.4973696e+04
   1.1400000e+02   1.1649654e+05   1.8450780e+04
   1.1500000e+02   9.7065179e+04   9.9353946e+02
   1.1600000e+02  -2.9596071e+04  -1.0990534e+04
   1.1700000e+02  -1.0942863e+05   2.1656898e+04
   1.1800000e+02  -1.6882989e+04   3.0767003e+04
   1.1900000e+02   5.4557270e+04  -8.5596205e+04
   1.2000000e+02   3.6665672e+04  -1.3947212e+05
   1.2100000e+02  -2.1483381e+03   1.2766780e+04
   1.2200000e+02  -2.6271803e+04   9.3633421e+04
   1.2300000e+02  -4.3462932e+04   1.8548348e+04
   1.2400000e+02  -2.8430365e+04  -4.9424405e+04
   1.2500000e+02   5.6104286e+04  -1.0730796e+05
   1.2600000e+02   5.3386913e+04  -1.7655712e+04
   1.2700000e+02  -2.4678136e+04   1.2163838e+05
   1.2800000e+02  -6.9182664e+04   5.5628919e+04
   1.2900000e+02  -7.5222878e+04  -3.0519118e+04
   1.3000000e+02   3.8890304e+04  -2.1659432e+04
   1.3100000e+02   1.2089024e+05   2.2384884e+04
   1.3200000e+02   3.2351777e+04   5.2140451e+04
   1.3300000e+02  -1.0611490e+05   1.8217588e+04
   1.3400000e+02  -1.4268127e+05  -3.1512947e+04
   1.3500000e+02   2.0512633e+04  -7.7022859e+04
   1.3600000e+02   1.4711351e+05  -3.8125354e+04
   1.3700000e+02   5.8406034e+04   3.2694784e+04
   1.3800000e+02  -5.2091270e+04   8.9731125e+03
