   1.0274000e+02   2.5123000e+01
   9.2401614e+01   3.1678608e+01
   0.0000000e+00  -1.5838643e+03  -1.5838643e+03
   1.0000000e+00  -1.7588703e+04   3.4435760e+04
   2.0000000e+00  -6.9615644e+02   1.9910231e+04
   3.0000000e+00   1.3766686e+04  -1.5086225e+04
   4.0000000e+00   1.5035055e+04  -2.6374844e+03
   5.0000000e+00  -5.7591203e+03   2.4781199e+04
   6.0000000e+00  -1.9632874e+04   3.1561859e+04
   7.0000000e+00   5.7376419e+03   2.1274649e+04
   8.0000000e+00   2.7642428e+04  -4.6069794e+03
   9.0000000e+00   1.6831823e+04  -7.5831668e+03
   1.0000000e+01   2.0512383e+03   2.7274533e+04
   1.1000000e+01  -1.0838009e+04   3.2771524e+04
   1.2000000e+01  -1.6244645e+04  -4.3973670e+03
   1.3000000e+01   7.3009140e+02  -1.9049141e+04
   1.4000000e+01   4.2140021e+03   2.0705940e+03
   1.5000000e+01  -1.7970368e+04   3.1477687e+04
   1.6000000e+01  -2.8101292e+04   3.6567690e+04
   1.7000000e+01  -2.6418092e+04  -4.1450134e+03
   1.8000000e+01  -1.2813676e+04  -3.3778089e+04
   1.9000000e+01   1.6472098e+04  -1.1059536e+04
   2.0000000e+01   1.5168610e+04   1.6275269e+04
   2.1000000e+01  -1.8932621e+04   2.8152291e+04
   2.2000000e+01  -3.8560994e+04   2.2492522e+04
   2.3000000e+01  -4.8676348e+04  -1.3190050e+04
   2.4000000e+01  -4.0307642e+04  -2.8263760e+04
   2.5000000e+01   2.0110708e+04  -1.0258754e+03
   2.6000000e+01   6.0297958e+04   1.3944308e+04
   2.7000000e+01   3.1841090e+03   1.5423334e+04
   2.8000000e+01  -7.3590323e+04   1.5586582e+04
   2.9000000e+01  -6.8935630e+04  -1.2890818e+04
   3.0000000e+01   4.6357630e+03  -3.0905083e+04
   3.1000000e+01   5.4902393e+04  -1.8330261e+03
   3.2000000e+01   1.2854681e+04   1.8540753e+04
   3.3000000e+01  -5.4739182e+04   7.0532195e+03
   3.4000000e+01  -4.7273034e+04  -1.2119038e+04
   3.5000000e+01  -2.3233329e+03  -3.0632258e+04
   3.6000000e+01   1.3235244e+04  -2.3165143e+04
   3.7000000e+01   6.5867128e+03   8.7497540e+02
   3.8000000e+01  -1.8076325e+04  -2.7920973e+03
   3.9000000e+01  -3.5985242e+04  -4.6100013e+03
   4.0000000e+01   5.9049297e+03   1.7733310e+04
   4.1000000e+01   6.0069650e+04   1.0874462e+04
   4.2000000e+01   3.8150296e+04  -2.0944280e+04
   4.3000000e+01  -2.7613753e+04  -3.3373798e+04
   4.4000000e+01  -5.0422308e+04  -3.3667209e+04
   4.5000000e+01  -1.0755478e+03  -1.1169902e+04
   4.6000000e+01   6.4098033e+04   2.9824681e+04
   4.7000000e+01   4.9271879e+04   2.4167194e+04
   4.8000000e+01  -2.0108361e+04  -1.8425848e+04
   4.9000000e+01  -3.1166589e+04  -3.2760856e+04
   5.0000000e+01   9.3105649e+03  -1.6509910e+04
   5.1000000e+01   2.5263060e+04   1.6184946e+04
   5.2000000e+01   9.6671953e+03   3.3404900e+04
   5.3000000e+01  -3.0335462e+03  -8.6620409e+03
   5.4000000e+01   1.3437545e+04  -4.4474965e+04
   5.5000000e+01   3.9105434e+04   2.6328860e+02
   5.6000000e+01   2.8070423e+04   4.6531573e+04
   5.7000000e+01   5.2974596e+03   2.0756990e+04
   5.8000000e+01   1.7835652e+04  -2.7289716e+04
   5.9000000e+01   2.8943928e+04  -4.2078880e+04
   6.0000000e+01   8.2102609e+03  -9.0842827e+03
   6.1000000e+01  -9.5651455e+03   4.0905658e+04
   6.2000000e+01  -5.0564146e+03   4.4967132e+04
   6.3000000e+01   2.0454508e+04   4.7490396e+03
   6.4000000e+01   3.9381026e+04  -3.1791805e+04
   6.5000000e+01   9.8678640e+03  -4.1023273e+04
   6.6000000e+01  -2.4751872e+04  -5.5964575e+03
   6.7000000e+01  -8.7554001e+03   4.6155502e+04
   6.8000000e+01   1.3176588e+04   4.1643112e+04
   6.9000000e+01   8.2214667e+03  -5.7117692e+03
   7.0000000e+01   4.5050742e+03  -2.2800220e+04
   7.1000000e+01   1.2287600e+03  -1.2029855e+04
   7.2000000e+01  -6.3287121e+03  -2.8303835e+03
   7.3000000e+01  -2.9400028e+03   7.2055743e+03
   7.4000000e+01  -3.9870110e+03   1.2082809e+04
   7.5000000e+01  -5.1375081e+03   1.7546531e+04
   7.6000000e+01   1.4609012e+04   1.6655709e+04
   7.7000000e+01   1.1569729e+04  -1.4313375e+04
   7.8000000e+01  -2.3411075e+04  -2.6716871e+04
   7.9000000e+01  -3.0629941e+04   1.7376913e+03
   8.0000000e+01  -1.3264443e+04   2.7511406e+03
   8.1000000e+01   9.3552397e+02  -1.4794109e+04
   8.2000000e+01   9.2636349e+03   2.6226640e+03
   8.3000000e+01  -9.7481246e+03   2.0680379e+04
   8.4000000e+01  -3.0404332e+04   8.5398308e+03
   8.5000000e+01  -5.5823358e+03  -1.3906395e+04
   8.6000000e+01   2.0714314e+04  -2.7148114e+04
   8.7000000e+01   4.1654299e+03  -4.3583246e+03
   8.8000000e+01  -1.9862927e+04   3.8950924e+04
   8.9000000e+01  -2.2523651e+04   3.9954085e+04
   9.0000000e+01  -3.5047294e+03   7.9957235e+03
   9.1000000e+01   1.9001258e+04  -1.1747035e+04
   9.2000000e+01   1.9766390e+02  -2.3638632e+04
   9.3000000e+01  -4.1682234e+04  -1.8994184e+04
   9.4000000e+01  -3.6938157e+04  -6.6595340e+01
   9.5000000e+01  -7.0800496e+03  -3.3407447e+03
   9.6000000e+01  -6.8285970e+03  -7.1453690e+03
   9.7000000e+01  -1.1199623e+04   5.2936935e+03
   9.8000000e+01  -1.2719098e+03  -9.3179165e+03
