   1.0274000e+02   2.5123000e+01
   9.7261002e+01   3.0690701e+01
   0.0000000e+00  -2.5560110e+04  -2.5560110e+04
   1.0000000e+00   8.1335843e+03  -7.6171189e+03
   2.0000000e+00   2.7096046e+04   4.6616722e+04
   3.0000000e+00   7.9264477e+03   4.2102636e+04
   4.0000000e+00  -1.8059449e+04  -2.1304189e+04
   5.0000000e+00  -3.2579527e+04  -4.6044384e+04
   6.0000000e+00  -3.3876997e+04  -4.2632563e+03
   7.0000000e+00  -1.3521881e+03   3.4759043e+04
   8.0000000e+00   6.4859992e+04   1.4977498e+04
   9.0000000e+00   7.6932030e+04  -1.9689418e+04
   1.0000000e+01  -2.6571279e+04  -6.5909811e+03
   1.1000000e+01  -1.1155584e+05   1.4932283e+03
   1.2000000e+01  -4.5990827e+04  -5.0372894e+04
   1.3000000e+01   6.0908047e+04  -6.8407498e+04
   1.4000000e+01   6.6867993e+04   1.4488014e+04
   1.5000000e+01   3.3627741e+03   7.5110743e+04
   1.6000000e+01  -2.5809395e+04   1.5403596e+04
   1.7000000e+01  -2.6782164e+03  -6.9473257e+04
   1.8000000e+01  -1.0987431e+04  -5.0249420e+04
   1.9000000e+01  -6.8345816e+04   6.3768649e+04
   2.0000000e+01  -7.2535118e+04   1.2124134e+05
   2.1000000e+01   1.7927307e+04   3.5390840e+04
   2.2000000e+01   1.0606884e+05  -7.8891436e+04
   2.3000000e+01   9.4569103e+04  -9.5795018e+04
   2.4000000e+01  -5.4215550e+03  -4.1382192e+03
   2.5000000e+01  -1.1315035e+05   1.1438943e+05
   2.6000000e+01  -1.2177464e+05   1.1166429e+05
   2.7000000e+01   3.7163264e+03  -3.1653153e+04
   2.8000000e+01   1.2216515e+05  -1.4239345e+05
   2.9000000e+01   1.0312214e+05  -1.0497143e+05
   3.0000000e+01   4.3606006e+03   1.2033952e+04
   3.1000000e+01  -6.7685771e+04   8.0892393e+04
   3.2000000e+01  -7.6954295e+04   6.1821729e+04
   3.3000000e+01  -2.8044543e+04   1.6106011e+04
   3.4000000e+01   3.6591982e+04  -1.3491736e+04
   3.5000000e+01   4.8859063e+04  -4.3298278e+04
   3.6000000e+01   1.2288646e+04  -5.5510748e+04
   3.7000000e+01  -4.5686560e+03  -1.5917452e+04
   3.8000000e+01   2.4167978e+03   4.0731860e+04
   3.9000000e+01  -1.2822001e+04   5.3056266e+04
   4.0000000e+01  -4.4126254e+04   4.2877571e+03
   4.1000000e+01  -2.1746673e+04  -4.4719061e+04
   4.2000000e+01   7.2586165e+04  -2.1858106e+04
   4.3000000e+01   1.0685502e+05   3.0627332e+04
   4.4000000e+01  -7.9399868e+03   2.2259923e+04
   4.5000000e+01  -1.2353218e+05  -3.5807292e+04
   4.6000000e+01  -6.9942313e+04  -4.0821694e+04
   4.7000000e+01   6.9101115e+04   4.3437120e+04
   4.8000000e+01   7.7584940e+04   1.0429471e+05
   4.9000000e+01  -4.6391967e+04   5.4661391e+04
   5.0000000e+01  -8.3353125e+04  -4.3636068e+04
   5.1000000e+01   3.6811736e+04  -7.9157255e+04
   5.2000000e+01   1.1793390e+05  -1.2500946e+04
   5.3000000e+01   2.9164720e+04   6.1951538e+04
   5.4000000e+01  -8.1993798e+04   4.5189264e+04
   5.5000000e+01  -4.7294409e+04  -1.3032307e+04
   5.6000000e+01   5.8731287e+04  -2.8286959e+04
   5.7000000e+01   8.1102172e+04  -1.6906046e+04
   5.8000000e+01   2.0659209e+04  -3.0753127e+04
   5.9000000e+01  -3.1140735e+04  -4.4436006e+04
   6.0000000e+01  -4.2588834e+04  -9.0909759e+02
   6.1000000e+01  -2.7249272e+04   5.7424278e+04
   6.2000000e+01   3.3878077e+03   4.2080751e+04
   6.3000000e+01   2.5130761e+04  -2.1622455e+04
   6.4000000e+01   1.2083130e+04  -3.4886402e+04
   6.5000000e+01  -3.1871238e+04  -1.2497151e+03
   6.6000000e+01  -5.9048010e+04   5.8047559e+03
   6.7000000e+01  -2.7695815e+04  -1.4171423e+03
   6.8000000e+01   3.7862862e+04   2.3719219e+04
   6.9000000e+01   7.9741842e+04   4.8563272e+04
   7.0000000e+01   5.1624932e+04   1.2804056e+04
   7.1000000e+01  -2.7612315e+04  -5.8410141e+04
   7.2000000e+01  -6.1402225e+04  -7.1443644e+04
   7.3000000e+01  -7.0976686e+03  -2.6102048e+03
   7.4000000e+01   5.6360199e+04   6.5277648e+04
   7.5000000e+01   4.2735797e+04   5.0911188e+04
   7.6000000e+01  -2.2134190e+04  -1.3100416e+04
   7.7000000e+01  -5.2303041e+04  -2.7595083e+04
   7.8000000e+01  -3.5215051e+04   3.7302407e+03
   7.9000000e+01  -1.6339622e+04   1.0639847e+03
   8.0000000e+01  -1.8716169e+04  -3.5576582e+04
   8.1000000e+01  -2.3923341e+04  -3.0418262e+04
   8.2000000e+01  -2.2924103e+03   3.5893407e+04
   8.3000000e+01   2.8434630e+04   6.8129276e+04
   8.4000000e+01   2.6183784e+04   1.2782852e+04
   8.5000000e+01  -1.5733303e+04  -5.2770917e+04
   8.6000000e+01  -5.6232643e+04  -6.7626391e+04
   8.7000000e+01  -4.0492018e+04  -3.9966516e+04
   8.8000000e+01   1.5459721e+04   1.4980053e+04
   8.9000000e+01   4.2576739e+04   6.7815263e+04
   9.0000000e+01   2.8973913e+04   6.3894645e+04
   9.1000000e+01   1.8199872e+04  -1.3718929e+04
   9.2000000e+01   1.3356599e+04  -8.6087808e+04
   9.3000000e+01  -1.6969375e+04  -5.8008827e+04
   9.4000000e+01  -3.2101599e+04   4.5721301e+04
   9.5000000e+01   8.5168815e+03   9.0858291e+04
   9.6000000e+01   2.7934256e+04   2.2195503e+04
   9.7000000e+01  -1.7865233e+04  -5.3867843e+04
   9.8000000e+01  -4.3476730e+04  -5.7847810e+04
   9.9000000e+01  -3.3101110e+03  -2.5643490e+04
   1.0000000e+02   2.4368350e+04   7.2181132e+03
   1.0100000e+02  -3.3495729e+03   2.8048260e+04
   1.0200000e+02  -1.9819203e+04   1.9413531e+04
   1.0300000e+02  -6.1576252e+03  -1.1502812e+04
   1.0400000e+02  -5.2614776e+03  -3.2847917e+04
   1.0500000e+02  -1.5088631e+02  -2.9089880e+04
   1.0600000e+02   2.3143521e+04  -7.7848238e+03
   1.0700000e+02   2.7571310e+04   1.2660502e+04
   1.0800000e+02   5.3930920e+03   1.1461577e+04
   1.0900000e+02  -1.1080092e+04   2.7314902e+03
   1.1000000e+02   2.8089128e+03   2.3097381e+03
   1.1100000e+02   2.7300662e+04  -1.0589399e+04
   1.1200000e+02   2.0129106e+04  -2.6181333e+04
