   1.0274000e+02   2.5123000e+01
   9.7962426e+01   3.1301320e+01
   0.0000000e+00   4.2210604e+03   4.2210604e+03
   1.0000000e+00  -4.7882147e+04   6.5304224e+04
   2.0000000e+00  -5.6809940e+04   5.6601922e+04
   3.0000000e+00  -1.3877424e+04  -3.8085450e+04
   4.0000000e+00   4.1283549e+04  -9.3093193e+04
   5.0000000e+00   2.8249930e+04  -3.3163295e+04
   6.0000000e+00  -3.6755714e+04   3.3450263e+04
   7.0000000e+00  -3.8512043e+04   1.0141107e+04
   8.0000000e+00   3.4904551e+04  -4.5399120e+04
   9.0000000e+00   6.0718336e+04  -5.2062547e+04
   1.0000000e+01  -1.7154938e+04  -1.2127473e+04
   1.1000000e+01  -1.0402641e+05   2.0203525e+04
   1.2000000e+01  -9.7028975e+04   2.4901411e+03
   1.3000000e+01  -1.4660291e+04  -3.4515705e+04
   1.4000000e+01   7.1989950e+04  -2.9651924e+04
   1.5000000e+01   9.8590743e+04   1.6173738e+04
   1.6000000e+01  -7.4871883e+03   5.8505116e+04
   1.7000000e+01  -1.6839618e+05   5.0116302e+04
   1.8000000e+01  -1.4859399e+05  -2.1972944e+04
   1.9000000e+01   7.0759904e+04  -7.8602458e+04
   2.0000000e+01   1.9717063e+05  -3.2008028e+04
   2.1000000e+01   6.6958460e+04   6.8801994e+04
   2.2000000e+01  -1.0151379e+05   1.0072885e+05
   2.3000000e+01  -8.6720341e+04   2.9260852e+04
   2.4000000e+01   1.4247367e+04  -7.2554262e+04
   2.5000000e+01   5.8507728e+04  -9.8213358e+04
   2.6000000e+01   6.9043421e+04  -1.1016595e+03
   2.7000000e+01   7.1166266e+04   1.1910460e+05
   2.8000000e+01   2.6856201e+04   1.0256045e+05
   2.9000000e+01  -5.8738511e+04  -4.2012938e+04
   3.0000000e+01  -9.2182548e+04  -1.2117434e+05
   3.1000000e+01  -1.7518129e+04  -3.3547727e+04
   3.2000000e+01   7.3911331e+04   9.2022057e+04
   3.3000000e+01   7.5078940e+04   1.0289226e+05
   3.4000000e+01   1.5308564e+03   1.4172959e+04
   3.5000000e+01  -5.5968343e+04  -5.0642041e+04
   3.6000000e+01  -3.1339828e+04  -1.8543482e+04
   3.7000000e+01   4.3530840e+04   5.5272307e+04
   3.8000000e+01   5.8633740e+04   5.5217603e+04
   3.9000000e+01  -1.4175520e+04  -3.5034911e+04
   4.0000000e+01  -3.9453624e+04  -8.2190407e+04
   4.1000000e+01   5.6853906e+04  -1.2660533e+03
   4.2000000e+01   1.0443246e+05   9.2445409e+04
   4.3000000e+01  -2.3355898e+04   6.0579094e+04
   4.4000000e+01  -1.3504822e+05  -4.5094659e+04
   4.5000000e+01  -4.2897893e+04  -6.6415117e+04
   4.6000000e+01   9.7437955e+04   1.2150103e+04
   4.7000000e+01   8.6601325e+04   5.7169684e+04
   4.8000000e+01   2.6731232e+03   2.6405178e+04
   4.9000000e+01  -2.7136434e+04  -8.5247226e+03
   5.0000000e+01  -2.4329340e+04  -1.3894311e+04
   5.1000000e+01  -1.6498996e+04  -2.6180229e+03
   5.2000000e+01   1.9423531e+04   1.1841722e+04
   5.3000000e+01   6.2431604e+04   1.5886212e+04
   5.4000000e+01   4.8098648e+04  -1.5004618e+04
   5.5000000e+01  -2.1545633e+04  -6.3996125e+04
   5.6000000e+01  -4.8525877e+04  -5.0395663e+04
   5.7000000e+01   2.3770031e+03   3.5836812e+04
   5.8000000e+01   2.6887887e+04   8.8717751e+04
   5.9000000e+01  -1.8377579e+04   2.9124160e+04
