   1.0274000e+02   2.5123000e+01
   9.3199140e+01   3.1658660e+01
   0.0000000e+00  -8.4692530e+03  -8.4692530e+03
   1.0000000e+00  -8.1397406e+03  -8.1298346e+03
   2.0000000e+00  -7.6816059e+03  -8.3380167e+03
   3.0000000e+00  -7.7573295e+03  -8.4394599e+03
   4.0000000e+00  -7.1675131e+03  -7.8335148e+03
   5.0000000e+00  -6.4359467e+03  -7.7083064e+03
   6.0000000e+00  -6.2397709e+03  -7.4995936e+03
   7.0000000e+00  -5.4329415e+03  -6.6796408e+03
   8.0000000e+00  -4.5441813e+03  -6.3691914e+03
   9.0000000e+00  -4.1913807e+03  -5.9256611e+03
   1.0000000e+01  -3.2015093e+03  -4.8686107e+03
   1.1000000e+01  -2.1560283e+03  -4.3875315e+03
   1.2000000e+01  -1.7197815e+03  -3.8029172e+03
   1.3000000e+01  -6.8538941e+02  -2.5767403e+03
   1.4000000e+01   4.1711045e+02  -1.9381198e+03
   1.5000000e+01   9.0360275e+02  -1.2758261e+03
   1.6000000e+01   1.9320696e+03  -3.3100144e+01
   1.7000000e+01   2.9761394e+03   6.2541090e+02
   1.8000000e+01   3.3899281e+03   1.3200528e+03
   1.9000000e+01   4.3385164e+03   2.5709751e+03
   2.0000000e+01   5.2754493e+03   3.1914155e+03
   2.1000000e+01   5.5511659e+03   3.7982315e+03
   2.2000000e+01   6.3391544e+03   4.9186592e+03
   2.3000000e+01   7.0849508e+03   5.3936751e+03
   2.4000000e+01   7.1351401e+03   5.8652661e+03
   2.5000000e+01   7.6924565e+03   6.8473978e+03
   2.6000000e+01   8.2226983e+03   7.1438638e+03
   2.7000000e+01   8.0415305e+03   7.3768382e+03
   2.8000000e+01   8.3224033e+03   8.0766008e+03
   2.9000000e+01   8.5570106e+03   8.0895297e+03
   3.0000000e+01   8.0962469e+03   8.0727025e+03
   3.1000000e+01   8.1096326e+03   8.5503263e+03
   3.2000000e+01   8.0770579e+03   8.3297485e+03
   3.3000000e+01   7.3592870e+03   8.0387345e+03
   3.4000000e+01   7.1317217e+03   8.2126867e+03
   3.5000000e+01   6.8572273e+03   7.6974839e+03
   3.6000000e+01   5.8851917e+03   7.1418439e+03
   3.7000000e+01   5.4158096e+03   7.0699611e+03
   3.8000000e+01   4.9454370e+03   6.3226237e+03
   3.9000000e+01   3.8132071e+03   5.5610952e+03
   4.0000000e+01   3.1880443e+03   5.2997373e+03
   4.1000000e+01   2.5824737e+03   4.3557345e+03
   4.2000000e+01   1.3710294e+03   3.4096315e+03
   4.3000000e+01   6.9113859e+02   3.0145759e+03
   4.4000000e+01  -3.9515346e+00   1.9714553e+03
   4.5000000e+01  -1.3067457e+03   9.1730219e+02
   4.6000000e+01  -1.9794050e+03   4.2276684e+02
   4.7000000e+01  -2.5567530e+03  -6.5511931e+02
   4.8000000e+01  -3.7391149e+03  -1.6840260e+03
   4.9000000e+01  -4.3588371e+03  -2.1531436e+03
   5.0000000e+01  -4.8853044e+03  -3.2141590e+03
   5.1000000e+01  -5.9325238e+03  -4.1761470e+03
   5.2000000e+01  -6.3529315e+03  -4.5104722e+03
   5.3000000e+01  -6.6791147e+03  -5.4272735e+03
   5.4000000e+01  -7.5221524e+03  -6.2632043e+03
   5.5000000e+01  -7.7072871e+03  -6.4358850e+03
   5.6000000e+01  -7.7925566e+03  -7.1221435e+03
