   1.0274000e+02   2.5123000e+01
   1.0220840e+02   2.7662900e+01
   0.0000000e+00  -1.5758334e+04  -1.5758334e+04
   1.0000000e+00   1.2209795e+05  -1.1139021e+05
   2.0000000e+00   8.6176281e+04  -6.2518386e+04
   3.0000000e+00  -5.1091493e+04   9.2249178e+03
   4.0000000e+00  -9.6061790e+04   2.4054062e+04
   5.0000000e+00  -5.3432082e+04  -3.6256290e+03
   6.0000000e+00   2.0749217e+04   1.0978056e+04
   7.0000000e+00   6.4914846e+04   8.6705095e+04
   8.0000000e+00  -1.2078986e+04   4.8561926e+04
   9.0000000e+00  -8.5069284e+04  -1.2743505e+05
   1.0000000e+01  -7.5457610e+03  -2.0240107e+05
   1.1000000e+01   7.0208278e+04  -7.6716158e+04
   1.2000000e+01   3.6065371e+04   1.5328611e+05
   1.3000000e+01  -3.1049162e+04   2.8780523e+05
   1.4000000e+01  -4.4589816e+04   9.7092783e+04
   1.5000000e+01   3.2279069e+04  -2.7162822e+05
   1.6000000e+01   5.3435047e+04  -3.5738043e+05
   1.7000000e+01  -5.8305898e+04  -4.6122034e+04
   1.8000000e+01  -7.2902847e+04   3.1363498e+05
   1.9000000e+01   2.5591186e+04   3.4150159e+05
   2.0000000e+01   2.0339332e+04   6.0741182e+03
   2.1000000e+01  -2.6725681e+03  -2.8871108e+05
   2.2000000e+01   6.8262475e+04  -2.0008054e+05
   2.3000000e+01   6.1870847e+04   7.7976931e+04
   2.4000000e+01  -6.1154177e+04   1.8806085e+05
   2.5000000e+01  -1.1749761e+05   9.0648544e+04
   2.6000000e+01  -4.9137472e+04  -7.2588441e+04
   2.7000000e+01   5.7678448e+04  -1.4782382e+05
   2.8000000e+01   1.0219901e+05  -4.5159558e+04
   2.9000000e+01   4.1199936e+04   9.0577167e+04
   3.0000000e+01  -1.7963962e+04   7.8546639e+04
   3.1000000e+01   1.3451941e+04  -2.9626312e+04
   3.2000000e+01   5.6723728e+04  -9.8559662e+04
   3.3000000e+01   3.7497782e+04  -3.3381892e+04
   3.4000000e+01  -5.6350882e+04   1.0975984e+05
   3.5000000e+01  -1.3372633e+05   1.0728374e+05
   3.6000000e+01  -2.6432051e+04  -3.0585939e+04
   3.7000000e+01   1.4386708e+05  -6.4133935e+04
   3.8000000e+01   1.1513415e+05   3.2089507e+04
   3.9000000e+01  -3.0643806e+04   1.2979459e+05
   4.0000000e+01  -1.3126494e+05   1.2267922e+05
   4.1000000e+01  -1.4509371e+05  -3.4053588e+04
   4.2000000e+01   1.0606017e+04  -1.4655781e+05
   4.3000000e+01   1.8634541e+05  -4.5694363e+04
   4.4000000e+01   1.0662939e+05   7.7745604e+04
   4.5000000e+01  -9.3632664e+04   6.7030347e+04
   4.6000000e+01  -1.2544024e+05   4.9795156e+03
   4.7000000e+01   8.0816492e+03  -6.8206086e+04
   4.8000000e+01   1.2856445e+05  -9.0843297e+04
   4.9000000e+01   8.0113709e+04   1.1828190e+04
   5.0000000e+01  -8.0096002e+04   9.4760649e+04
   5.1000000e+01  -9.0581023e+04   4.8750891e+04
   5.2000000e+01   6.4764951e+04  -2.7088951e+04
   5.3000000e+01   1.0692980e+05  -8.4990132e+04
   5.4000000e+01  -6.7607198e+03  -7.1906771e+04
   5.5000000e+01  -9.0995647e+04   7.5200506e+04
   5.6000000e+01  -8.9911554e+04   1.5466551e+05
   5.7000000e+01   1.2005066e+03   7.5616760e+03
