   1.0274000e+02   2.5123000e+01
   9.3057940e+01   3.1908916e+01
   0.0000000e+00  -4.2018910e+03  -4.2018910e+03
   1.0000000e+00   1.8916344e+04  -2.5892417e+04
   2.0000000e+00   3.0223935e+03  -1.4173277e+04
   3.0000000e+00  -2.4665990e+04   1.2451261e+04
   4.0000000e+00  -1.4979332e+04   2.6796162e+04
   5.0000000e+00   1.7064758e+04   2.0049576e+04
   6.0000000e+00   2.9798410e+04  -4.6878050e+03
   7.0000000e+00   7.8536211e+03  -2.3996864e+04
   8.0000000e+00  -3.1027952e+04  -2.7487469e+03
   9.0000000e+00  -4.5376841e+04   4.2660045e+04
   1.0000000e+01  -1.1714176e+04   2.4175547e+04
   1.1000000e+01   5.0769143e+04  -6.1803000e+04
   1.2000000e+01   7.1640849e+04  -7.9785289e+04
   1.3000000e+01   3.0510594e+02   7.1613527e+03
   1.4000000e+01  -7.9153794e+04   7.7601762e+04
   1.5000000e+01  -5.0808768e+04   4.3333397e+04
   1.6000000e+01   3.0800151e+04  -5.7027461e+04
   1.7000000e+01   2.9219425e+04  -1.0102046e+05
   1.8000000e+01  -2.9291024e+04  -3.5530590e+04
   1.9000000e+01  -2.6514115e+04   6.1539413e+04
   2.0000000e+01   2.4188944e+04   9.4898212e+04
   2.1000000e+01   2.7475335e+04   3.7928890e+04
   2.2000000e+01  -3.4801888e+04  -4.7536977e+04
   2.3000000e+01  -8.1404416e+04  -7.5252753e+04
   2.4000000e+01  -5.0884013e+04  -2.3254813e+04
   2.5000000e+01   2.9279095e+04   4.6846475e+04
   2.6000000e+01   1.0231068e+05   5.4900365e+04
   2.7000000e+01   7.8973540e+04   1.1914025e+04
   2.8000000e+01  -4.8209790e+04  -1.3093159e+04
   2.9000000e+01  -1.0172886e+05  -5.7874139e+03
   3.0000000e+01  -8.1155688e+03  -9.9919241e+03
   3.1000000e+01   7.8133442e+04  -3.5216992e+04
   3.2000000e+01   6.2145470e+04  -1.9639757e+04
   3.3000000e+01   1.6003295e+04   3.4998046e+04
   3.4000000e+01  -8.2061597e+03   4.6754665e+04
   3.5000000e+01  -4.6335421e+04   1.8841483e+03
   3.6000000e+01  -6.4217091e+04  -4.6348734e+04
   3.7000000e+01   9.5779123e+03  -4.6344116e+04
   3.8000000e+01   9.0754247e+04   1.0891101e+04
   3.9000000e+01   5.1267379e+04   7.1245500e+04
   4.0000000e+01  -6.0887720e+04   6.1247270e+04
   4.1000000e+01  -9.7472406e+04  -1.8937601e+04
   4.2000000e+01  -2.2301487e+04  -6.0823406e+04
   4.3000000e+01   6.6218401e+04  -1.0341750e+04
   4.4000000e+01   6.8924098e+04   4.9877929e+04
   4.5000000e+01   2.2636078e+03   4.2333567e+04
   4.6000000e+01  -2.5958996e+04  -1.3841763e+04
   4.7000000e+01  -2.8645123e+03  -3.0357429e+04
   4.8000000e+01  -3.2395243e+03   6.9606996e+03
   4.9000000e+01  -1.0427104e+04   1.6890671e+04
   5.0000000e+01   1.4629491e+04  -5.2284116e+03
   5.1000000e+01   3.0861060e+04  -1.3645071e+04
   5.2000000e+01   1.4632513e+04  -1.4182968e+04
   5.3000000e+01   1.1651475e+04  -1.1554179e+04
   5.4000000e+01   3.1252439e+04   1.1126484e+04
   5.5000000e+01   2.1106375e+04   4.0061134e+04
   5.6000000e+01  -1.0546200e+04   3.9035748e+04
   5.7000000e+01  -2.4346193e+04   7.4266177e+03
   5.8000000e+01  -2.3999985e+04  -3.4889032e+04
   5.9000000e+01  -6.2655574e+03  -5.4998568e+04
   6.0000000e+01   2.1467325e+04  -1.4956086e+04
   6.1000000e+01   2.9985087e+04   5.2839435e+04
   6.2000000e+01   1.7271428e+04   7.7897915e+04
   6.3000000e+01   8.6588236e+03   2.4392968e+04
   6.4000000e+01   1.1231406e+03  -6.8613470e+04
   6.5000000e+01  -2.8512835e+04  -9.5572842e+04
   6.6000000e+01  -3.3551149e+04  -2.9731857e+04
   6.7000000e+01   1.0832070e+04   4.5955114e+04
   6.8000000e+01   3.4123189e+04   5.2605566e+04
   6.9000000e+01   1.1272530e+04  -7.5427567e+03
   7.0000000e+01  -2.7038757e+04  -4.6006710e+04
   7.1000000e+01  -5.3285182e+04  -2.1849785e+04
   7.2000000e+01  -4.5260022e+04   1.1078808e+04
   7.3000000e+01  -1.1979482e+04   1.5824608e+04
   7.4000000e+01   9.1870643e+03   8.5329012e+03
   7.5000000e+01  -1.1370050e+04   2.0036973e+04
   7.6000000e+01  -2.9315717e+04   2.9120133e+04
   7.7000000e+01   8.9059447e+03  -3.2902799e+03
   7.8000000e+01   4.2535684e+04  -3.1448744e+04
   7.9000000e+01   5.3777837e+03  -1.1633056e+04
   8.0000000e+01  -4.6494732e+04   1.0795171e+04
   8.1000000e+01  -2.2976278e+04   4.5639586e+03
   8.2000000e+01   4.6999098e+04  -3.2444712e+03
   8.3000000e+01   5.7196998e+04  -3.2487406e+02
   8.4000000e+01   1.2204474e+03  -7.1535003e+03
   8.5000000e+01  -3.4165809e+04  -3.3234371e+04
   8.6000000e+01  -1.3918749e+04  -4.0739653e+04
   8.7000000e+01   3.6965667e+03   2.1774915e+03
   8.8000000e+01  -7.3857375e+03   3.9832448e+04
   8.9000000e+01  -7.6934952e+02   2.4631640e+04
   9.0000000e+01   8.2526085e+03  -3.9557420e+03
   9.1000000e+01  -1.6917638e+04  -2.1180126e+04
   9.2000000e+01  -4.2470923e+04  -3.3721668e+04
   9.3000000e+01  -2.7204476e+04  -2.8385553e+04
   9.4000000e+01   2.0853474e+04   6.3226406e+03
   9.5000000e+01   2.4984233e+04   4.6493769e+04
   9.6000000e+01  -4.1098325e+04   4.0647151e+04
   9.7000000e+01  -7.1995713e+04  -1.2121533e+04
   9.8000000e+01  -3.9458760e+03  -4.6936095e+04
   9.9000000e+01   7.8602240e+04  -2.7477564e+04
   1.0000000e+02   6.5500944e+04   8.5552652e+03
