   1.0274000e+02   2.5123000e+01
   1.0387050e+02   2.8976100e+01
   0.0000000e+00   5.9492640e+04   5.9492640e+04
   1.0000000e+00  -1.0652601e+04   5.8904470e+04
   2.0000000e+00  -4.8273242e+04  -3.9207861e+04
   3.0000000e+00  -9.9328056e+04  -3.5065749e+04
   4.0000000e+00  -1.2158919e+05   8.2170752e+04
   5.0000000e+00   2.4805656e+04   6.3757394e+04
   6.0000000e+00   2.0590956e+05  -9.2370407e+04
   7.0000000e+00   1.1735291e+05  -1.0029197e+05
   8.0000000e+00  -1.2620410e+05   3.5530877e+04
   9.0000000e+00  -1.5771074e+05   5.7449233e+04
   1.0000000e+01  -1.2612930e+04  -9.4942190e+03
   1.1000000e+01   6.5620773e+04  -3.6096906e+04
   1.2000000e+01   7.0490598e+04  -6.2143757e+04
   1.3000000e+01   9.2231472e+04  -1.0410811e+05
   1.4000000e+01   7.3694119e+04  -9.9997389e+04
   1.5000000e+01  -4.1140351e+04  -9.7996226e+03
   1.6000000e+01  -7.6941727e+04   7.8807445e+04
   1.7000000e+01   5.9963275e+04   4.8516315e+04
   1.8000000e+01   1.2703793e+05  -5.5226711e+04
   1.9000000e+01  -5.9429599e+03  -1.2985200e+05
   2.0000000e+01  -8.3744194e+04  -9.9121408e+04
   2.1000000e+01   6.3229345e+04   4.5536444e+04
   2.2000000e+01   1.6460137e+05   1.2066768e+05
   2.3000000e+01   2.9439080e+04  -1.6209238e+04
   2.4000000e+01  -6.6237895e+04  -1.5289719e+05
   2.5000000e+01   1.8145387e+04  -4.3700783e+04
   2.6000000e+01   1.2697647e+04   1.4864438e+05
   2.7000000e+01  -1.1160415e+05   1.4297955e+05
   2.8000000e+01  -3.0225023e+04  -4.1934424e+04
   2.9000000e+01   2.0544166e+05  -1.9621797e+05
   3.0000000e+01   1.7532176e+05  -1.6024710e+05
   3.1000000e+01  -9.8773935e+04   2.1352609e+04
   3.2000000e+01  -1.9405058e+05   1.3214040e+05
   3.3000000e+01  -2.5548222e+04   6.2293115e+04
   3.4000000e+01   1.1237752e+05  -6.1410342e+04
   3.5000000e+01   7.8026693e+04  -9.0476539e+04
   3.6000000e+01   1.0885389e+04  -5.0262910e+04
   3.7000000e+01   1.0076289e+04  -2.1812626e+04
   3.8000000e+01   2.7111573e+04   1.9289364e+04
   3.9000000e+01   4.6364224e+03   1.1075755e+05
   4.0000000e+01  -4.4043766e+04   1.3006585e+05
   4.1000000e+01  -4.4317655e+04  -3.3947018e+04
   4.2000000e+01   2.0458399e+04  -1.7658448e+05
   4.3000000e+01   6.6599391e+04  -5.8934775e+04
   4.4000000e+01   3.0568843e+04   1.7148048e+05
   4.5000000e+01  -5.2275707e+04   1.8326291e+05
   4.6000000e+01  -1.0610106e+05  -3.4893698e+04
   4.7000000e+01  -7.5927967e+04  -1.2584293e+05
   4.8000000e+01   4.5226388e+04   1.8251458e+04
   4.9000000e+01   1.0493110e+05   1.1088973e+05
   5.0000000e+01   3.7078841e+03   3.8789017e+04
   5.1000000e+01  -4.6419921e+04  -6.4721862e+04
   5.2000000e+01   1.2513020e+04  -5.6214338e+04
   5.3000000e+01  -3.0717277e+04   7.2548496e+04
   5.4000000e+01  -7.2030986e+04   1.4031851e+05
   5.5000000e+01   7.6342392e+04   5.8567919e+04
   5.6000000e+01   1.3449403e+05  -7.4471090e+04
   5.7000000e+01  -8.0169218e+04  -1.1856030e+05
   5.8000000e+01  -1.6156060e+05   3.7333893e+03
   5.9000000e+01   5.7404822e+04   1.4904223e+05
   6.0000000e+01   1.1990040e+05   1.3603224e+05
   6.1000000e+01  -1.1993742e+05   1.2763908e+04
   6.2000000e+01  -2.4263324e+05  -8.6070364e+04
   6.3000000e+01  -7.1637197e+04  -7.5032688e+04
   6.4000000e+01   8.5994996e+04   5.1429971e+04
   6.5000000e+01   3.9199739e+04   1.3935846e+05
   6.6000000e+01  -3.1443954e+04   5.7981351e+04
   6.7000000e+01  -3.3855205e+04  -6.7266594e+04
   6.8000000e+01  -6.6707969e+04  -7.4024608e+04
   6.9000000e+01  -6.7845852e+04   2.2982458e+04
   7.0000000e+01   5.3927517e+04   9.7648610e+04
   7.1000000e+01   1.3375792e+05   3.7549719e+04
   7.2000000e+01   3.1528404e+04  -5.2906701e+04
   7.3000000e+01  -7.3442286e+04  -2.2518014e+04
   7.4000000e+01  -3.5888916e+04   2.7833626e+04
   7.5000000e+01   1.2537205e+04   7.9592607e+03
   7.6000000e+01  -5.8290047e+02  -9.2124075e+03
   7.7000000e+01  -7.8444572e+03  -5.6528989e+03
   7.8000000e+01  -1.3780869e+04  -1.5818968e+04
   7.9000000e+01  -5.0897700e+04  -4.1710881e+03
   8.0000000e+01  -5.8751087e+04   3.8418201e+04
   8.1000000e+01  -8.9758625e+03   2.0181624e+04
   8.2000000e+01  -7.5937292e+03  -5.9480697e+04
   8.3000000e+01  -5.3460098e+04  -9.2364358e+04
   8.4000000e+01  -2.5584143e+04  -4.3229924e+04
   8.5000000e+01   3.3672057e+04   3.9617666e+04
   8.6000000e+01   3.7105957e+04   7.9986472e+04
   8.7000000e+01   3.9138132e+04   5.9535902e+04
   8.8000000e+01   6.7120718e+04  -7.0790383e+03
   8.9000000e+01   3.5837191e+04  -1.1284185e+05
   9.0000000e+01  -3.7848231e+04  -1.4366364e+05
   9.1000000e+01  -1.6513683e+04  -1.5899506e+04
   9.2000000e+01   6.8384839e+04   1.2345568e+05
   9.3000000e+01   5.9532730e+04   6.4068206e+04
   9.4000000e+01  -3.9592140e+04  -1.3741871e+05
   9.5000000e+01  -6.3006069e+04  -1.8116553e+05
   9.6000000e+01   2.5894583e+04  -2.6114972e+04
   9.7000000e+01   3.0938266e+04   4.3339391e+04
   9.8000000e+01  -5.5933649e+04  -4.1945561e+04
   9.9000000e+01  -2.4973304e+04  -6.2842575e+04
   1.0000000e+02   7.3077666e+04   2.6346001e+04
   1.0100000e+02   7.4075539e+04   5.1825844e+04
   1.0200000e+02   1.9181173e+04   2.8314236e+03
   1.0300000e+02   5.5473507e+03  -1.4976544e+04
   1.0400000e+02   4.8809174e+04  -1.1517318e+04
   1.0500000e+02   9.4450053e+04  -1.0347221e+04
   1.0600000e+02   8.6996813e+04  -7.0748384e+03
   1.0700000e+02   3.2258970e+04   7.8634553e+03
   1.0800000e+02  -3.3380434e+04   3.4069958e+04
   1.0900000e+02  -7.0617119e+04   2.2395442e+04
   1.1000000e+02  -3.5106373e+04  -4.5623621e+04
   1.1100000e+02   3.4285929e+04  -1.2480579e+05
   1.1200000e+02   2.8839744e+04  -1.1822191e+05
   1.1300000e+02  -3.0634670e+04   1.4776828e+04
   1.1400000e+02  -4.8705697e+04   1.4048233e+05
   1.1500000e+02  -1.1849299e+04   1.0968669e+05
   1.1600000e+02   4.8124317e+04  -4.7944377e+04
   1.1700000e+02   8.1519902e+04  -1.2034014e+05
   1.1800000e+02   7.9660160e+04  -4.9254700e+03
   1.1900000e+02   6.7252737e+04   1.0032797e+05
   1.2000000e+02   6.4626903e+04   5.5896739e+04
   1.2100000e+02   9.0704943e+04  -2.1342029e+04
